店舖名稱,店舖號,服務編號,地址,電話
全家南投新村店,018625,13650,"南投縣南投市中正路330之6號,之11號一樓","0497008747, 0492339180"
全家南投光明店,018310,53213,南投縣南投市中興路227號1樓,"0497008825, 0492312857"
全家南投金袋店,016520,50089,南投縣南投市育樂路99號1樓,"0497008733, 0492246829"
全家南投老家店,017915,57915,南投縣南投市南崗一路28號,"0497008485, 0492246703"
全家南投南崗店,017154,13669,南投縣南投市南崗二路403號一樓,"0497008743, 0492202035"
全家南投車站店,017850,13206,南投縣南投市復興路121號,"0497008741, 0492242638"
全家南投康金店,016521,19753,南投縣南投市復興路342號,"0497008745, 0492247360"
全家南投署醫店,015359,55359,南投縣南投市復興路478號,0492240220
全家南投永順店,016650,19857,南投縣南投市彰南路二段360號1樓及地下室,"0497008740, 0492246582"
全家南投仁和店,017780,53012,南投縣南投市彰南路三段53號,"0497008486, 0492252545"
全家南投新中興店,017005,57005,南投縣南投市學藝路3號,"0497008610, 0492390012"
全家南投中寮店,013868,13409,南投縣中寮鄉永安街98號,"0497008739, 0492692671"
全家草屯同安店,014132,13377,南投縣草屯鎮中山街247號,"0497008701, 0492354555"
全家草屯中正店,017462,13143,南投縣草屯鎮中正路836號,"0497008700, 0492304751"
全家草屯雙冬店,014199,13313,南投縣草屯鎮中正路43之43號,"0497008710, 0492572861"
全家草屯南開店,016140,18951,南投縣草屯鎮中正路568號,"0497008707, 0492568946"
全家草屯稻豐店,017389,57389,南投縣草屯鎮中正路1573號,"0497008592, 0492307992"
全家草屯虎山店,018297,58297,南投縣草屯鎮中正路610號1樓及2樓,"0497008645, 0492320230"
全家草屯金安全店,017851,50457,南投縣草屯鎮中和路100號,"0497008703, 0492565781"
全家草屯敦和店,018532,19757,南投縣草屯鎮仁愛街89號,"0497008708, 0492313291"
全家草屯太平店,013013,53013,南投縣草屯鎮太平路一段498號,"0497008487, 0492393238"
全家草屯佑民店,012823,13912,南投縣草屯鎮正興街78號,"0497008702, 0492392916"
全家草屯東寶店,018427,52093,南投縣草屯鎮虎山路766號1樓,"0497008419, 0492322734"
全家草屯草狀元店,016856,55750,南投縣草屯鎮草溪路605號1樓,"0497008769, 0492312947"
全家草屯金安店,015321,14646,南投縣草屯鎮御富路218號,"0497008705, 0492569945"
全家草屯金昌店,013999,14068,南投縣草屯鎮富林路一段320號,"0497008706, 0492560184"
全家國姓水長流店,016786,19112,南投縣國姓鄉長流村大長路577-17號,"0497008716, 0492432846"
全家埔里安德店,017322,53095,南投縣埔里鎮八德路38號,"0497008801, 0492420684"
全家埔里埔榮店,012168,13825,南投縣埔里鎮中山路一段237之7號1樓,"0497008729, 0492900366"
全家埔里愛埔店,016227,18670,南投縣埔里鎮中山路四段87號,"0497008731, 0492917636"
全家埔里東榮店,017610,13331,南投縣埔里鎮中正路376號,"0497008722, 0492994966"
全家埔里金車店,015211,50515,南投縣埔里鎮中正路534號,"0497008727, 0492996831"
全家埔里籃城店,018936,51542,南投縣埔里鎮中正路981號,"0497008596, 0492912500"
全家埔里新東興店,017215,54573,南投縣埔里鎮中正路204號,"0497008588, 0492987628"
全家埔里水頭店,015857,55857,南投縣埔里鎮中正路160號,"0497008525, 0492420783"
全家埔里枇杷店,017213,50581,南投縣埔里鎮中華路1-1號1樓,"0497008725, 0492986650"
全家埔里泰安店,018239,52782,南投縣埔里鎮中華路170號1樓,"0497008597, 0492903672"
全家埔里埔大店,015328,14260,南投縣埔里鎮民生路146號,"0497008728, 0492906026"
全家埔里牛埔店,014653,19113,南投縣埔里鎮西安路二段90號,"0497008721, 0492932897"
全家埔里大坪頂店,018960,55748,南投縣埔里鎮西安路三段286號一樓,"0497008509, 0492933067"
全家埔里高工店,013582,14005,南投縣埔里鎮和平東路431號,"0497008730, 0492999423"
全家埔里金牛店,014518,14117,南投縣埔里鎮桃米路23-7號,"0497008726, 0492915827"
全家埔里九龍店,015498,13489,南投縣埔里鎮隆生路71號,"0497008715, 0492996297"
全家埔里鐵山店,013397,13987,"南投縣埔里鎮鐵山路9號,9-1號","0497008732, 0492916873"
全家埔里埔基店,011767,51547,南投縣埔里鎮鐵山路1-2號,"0497008595, 0492915116"
全家仁愛賽德克店,018467,53092,南投縣仁愛鄉南豐村中正路87-1號,"0497008802, 0492920748"
全家仁愛高山青店,017267,19808,南投縣仁愛鄉大同村信義巷34之6號,"0497008737, 0492803863"
全家名間松柏店,016041,13500,南投縣名間鄉松山村名松路二段167號,"0497008748, 0492583284"
全家名間金交流店,012198,50517,南投縣名間鄉彰南路243號,"0497008749, 0492731964"
全家集集金集店,013696,14299,南投縣集集鎮民生路69號,"0497008719, 0492760170"
全家魚池日月潭店,019045,59045,南投縣魚池鄉中正路286號,0492850266
全家魚池水沙連店,018213,52520,"南投縣魚池鄉魚池村魚池街322號1,2樓","0497008479, 0492899432"
全家魚池伊達邵店,018015,51089,南投縣魚池鄉義勇街55號,"0497008717, 0492850405"
