店舖名稱,店舖號,服務編號,地址,電話
全家台中狀元店,015094,13854,台中市中區中山路19號21號1樓,"04-37007221, 04-22299329"
全家台中日新店,017160,13220,台中市中區中華路一段109號,"04-37007305, 04-22244999"
全家台中鑫華店,017182,19230,台中市中區中華路一段152號,"04-37007450, 04-22259116"
全家台中新公園店,017490,19305,台中市中區公園路19-2號壹樓及地下室,"04-37007270, 04-22231801"
全家台中新興中店,018924,52745,台中市中區公園路81號,"04-37046761, 04-22236602"
全家台中萬代福店,017816,57816,台中市中區公園路42號,"04-37070456, 04-22010133"
全家台中台鐵店,018569,58569,台中市中區臺灣大道一段1號,"04-37046834, 04-22240056"
全家台中建民店,016956,14034,"台中市中區民族路9號,11號","04-37007227, 04-22203630"
全家台中日日新店,019204,53698,台中市中區民族路216號,"04-37070093, 04-22235772"
全家台中新市府店,017533,53242,台中市中區民權路86號,"04-37070436, 04-22291640"
全家台中成功店,018281,13012,台中市中區成功路66號,"04-37007321, 04-22250379"
全家台中繼成店,017670,13165,"台中市中區成功路106號,108號一樓","04-37007368, 04-22262519"
全家台中鑫貴店,018426,51086,臺中市中區自由路二段103號壹樓,"04-37007451, 04-22232616"
全家台中力行店,016185,13089,台中市東區力行路212號1樓,"04-37007238, 04-23602447"
全家台中十甲店,015469,19028,台中市東區十甲路262號一樓,"04-37007239, 04-22132931"
全家台中鳳鳴店,016426,53608,台中市東區大振街31號,"04-37048960, 04-22808292"
全家台中金自由店,015495,55333,台中市東區自由路三段95號,"04-37073875, 04-22136648"
全家台中東英店,011990,13822,"台中市東區旱溪東路一段300號,301號1樓","04-37007216, 04-22138121"
全家台中金站二店,017135,57135,台中市東區和平街119-4號,"04-37077403, 04-22280086"
全家台中東園店,013717,14002,台中市東區東光園路536號,"04-37007217, 04-22154768"
全家台中樂成店,019086,59086,台中市東區東光園路568號1樓及夾層,04-22150016
全家台中金東門店,015398,55398,台中市東區東門路118號,"04-37023162, 04-22806630"
全家台中金礦店,018543,58543,台中市東區振興路44號1樓,"04-37046793, 04-22281695"
全家台中新富台店,015173,54451,台中市東區富台東街72號1樓,"04-37073590, 04-22132761"
全家台中金站店,017012,54879,台中市東區復興路四段147號,"04-37046035, 04-22245956"
全家台中新車頭店,015990,55990,台中市東區新民街88號,"04-37074223, 04-22231850"
全家台中長樂店,019015,19278,台中市東區樂業路342號,"04-37007226, 04-22134614"
全家台中金大慶店,017115,50090,台中市南區大慶街二段8號,"04-37074942, 04-22600280"
全家台中新時代店,019096,54572,台中市南區工學二街95號一樓,"04-37023957, 04-22608615"
全家台中進步店,018628,50670,台中市南區工學北路122號1樓,"04-37074936, 04-22650685"
全家台中登陽店,017076,57076,台中市南區文心南路548號,"04-37077402, 04-22654239"
全家太平新興中店,018062,57221,台中市太平區永平南路1號,"04-37070043, 04-22703497"
