店舖名稱,店舖號,服務編號,地址,電話
全家新德店,018932,53115,台北市中正區八德路一段43巷2號,"02-77463163, 02-23214351"
全家台醫店,006598,16598,台北市中正區中山南路7號1樓,"02-23279603, 02-23278841"
全家台大醫院店,018527,58527,台北市中正區中山南路7號B1樓,02-33223538
全家台鐵西店,018558,58558,臺北市中正區北平西路3號(西南站),02-23141492
全家台鐵北店,018559,58559,臺北市中正區北平西路3號(西北站),"02-77231907, 02-23142838"
全家台鐵南店,018685,58685,臺北市中正區北平西路3號(東南站),"02-77306283, 02-23883209"
全家台鐵東店,018686,58686,臺北市中正區北平西路3號(東北站),"02-77306635, 02-23893070"
全家凱撒店,018141,58141,台北市中正區忠孝西路一段38號1樓(部份),"02-77286143, 02-23898803"
全家福昌店,017358,57358,台北市中正區福州街10號1樓(部份),"02-77303690, 02-23913137"
全家衡慶店,017203,57203,台北市中正區衡陽路7號1樓部分(如附圖),"02-77294765, 02-23820271"
全家南機場店,018955,18805,台北市中正區中華路二段311巷1號1樓,"02-77095865, 02-23039420"
全家新惠安店,015956,52555,台北市中正區中華路二段307巷46號,"02-77300717, 02-23036887"
全家高鐵一店,018519,58519,台北市中正區北平西路3號B1東側,02-23619736
全家高鐵二店,018520,58520,台北市中正區北平西路3號B1西側,02-23148950
全家台鐵二店,018560,58560,臺北市中正區北平西路3號B1,"02-77231934, 02-23147112"
全家台鐵一店,018687,58687,臺北市中正區北平西路3號B1,"02-77306756, 02-23614184"
全家地下街店,018445,58445,台北市中正區市民大道一段100號地下街159號店鋪,"02-77230004, 02-25557620"
全家新龍口店,017008,52543,台北市中正區汀州路一段244號,"02-77300715, 02-23047184"
全家金門店,016606,19851,台北市中正區汀州路二段216號1樓,"02-77095860, 02-23642756"
全家新廈門店,014453,54051,台北市中正區汀州路二段38號1樓,"02-77397215, 02-23681443"
全家公館店,015201,10053,台北市中正區汀州路三段251號,"02-77095861, 02-23688539"
全家文盛店,017605,11178,台北市中正區汀州路三段173號,"02-77096364, 02-23681345"
全家水源店,014142,11471,台北市中正區汀州路三段261號,"02-77095862, 02-23642257"
全家和鄰店,017366,12744,台北市中正區和平西路一段82號1樓,"02-77095869, 02-23628326"
全家寶慶店,018151,11554,台北市中正區延平南路111號,"02-77095843, 02-23898700"
全家郡王店,014575,14239,台北市中正區延平南路68號,"02-77095846, 02-23719902"
全家和醫店,016200,19227,台北市中正區延平南路159號1樓,"02-77095845, 02-23122560"
全家鴻啟店,016266,18916,台北市中正區忠孝西路一段100號,"02-77095867, 02-23142878"
全家北捷店,017485,54385,台北市中正區忠孝西路一段47號B1F,02-23831985
全家亞慶店,016918,56918,台北市中正區忠孝西路一段50號1樓,"02-77463543, 02-23706675"
全家兆豐店,018710,58710,台北市中正區忠孝東路二段93號1樓,"02-77303715, 02-23418109"
全家文祥店,018150,11059,台北市中正區杭州南路一段147號,"02-77095850, 02-23914884"
全家林森南路店,016799,10062,"台北市中正區林森南路57,59號","02-77095855, 02-23519110"
全家南陽店,015589,10112,台北市中正區信陽街15號,"02-77095868, 02-23881469"
全家新東門店,014785,54785,台北市中正區信義路一段1號,"02-77292130, 02-23564259"
全家南海店,014490,51143,臺北市中正區南海路20號,"02-77095849, 02-23564283"
全家重慶店,017294,14199,台北市中正區重慶南路一段58號,"02-77095851, 02-23122797"
全家摩天店,018265,11149,台北市中正區許昌街26號,"02-77136527, 02-23148151"
全家博愛店,018369,58369,"台北市中正區博愛路63號1F,B1F","02-77286631, 02-23432173"
全家開封店,017223,16474,台北市中正區開封街一段41號1樓,"02-77095852, 02-23709020"
全家教育大學店,016575,56575,台北市中正區愛國西路1號,"02-77462653, 02-23888317"
全家大孝店,015063,16760,"台北市中正區愛國東路112號1樓,2樓","02-77095871, 02-23216231"
全家漢盛店,015850,55850,台北市中正區漢口街一段18號,"02-77093390, 02-23117024"
全家新衡陽店,017503,56722,台北市中正區衡陽路77號一樓,"02-77397262, 02-23711130"
