店舖名稱,店舖號,服務編號,地址,電話
全家台南中山店,018970,17204,台南市中西區中山路139號,"06-7035531, 06-2262010"
全家台南三越店,018765,58765,台南市中西區中山路162號B2F,06-2223185
全家台南前站店,018123,58123,"台南市中西區中山路207號1,2樓(如附圖","06-7030350, 06-2225096"
全家台南大學店,016434,53760,台南市中西區五妃街190號全棟,"06-7030238, 06-2142350"
全家台南五妃店,015195,55195,台南市中西區五妃街270號1樓,"06-7030079, 06-2142397"
全家台南赤崁店,012778,17875,台南市中西區民族路二段257號一樓,"06-7035556, 06-2216207"
全家台南永福店,019099,59099,台南市中西區永福路一段191號,06-2148086
全家台南和善店,017086,17141,台南市中西區和善街69號1F,"06-7035525, 06-2802166"
全家台南康樂三店,018848,19037,台南市中西區府前路二段178號1樓,"06-7035402, 06-2224451"
全家台南美環店,017588,57588,台南市中西區府前路二段277號,06-2989962
全家台南忠義店,015019,19038,台南市中西區忠義路一段56號1樓,"06-7035466, 06-2143579"
全家台南勝興店,013966,53966,台南市中西區武聖路153號1樓,"06-7030225, 06-3582106"
全家台南康樂二店,019194,17979,台南市中西區康樂街150號一樓,"06-7035401, 06-2213463"
全家台南康樂一店,015381,18549,台南市中西區康樂街135號1樓,"06-7035400, 06-2255075"
全家台南美美店,017789,57789,台南市中西區湖美街72號1樓及地下室,"06-7030469, 06-3587209"
全家台南成大店,017599,57599,台南市東區大學路1號　光復校區學生餐廳,06-2004692
全家台南南紡店,018673,56022,台南市東區中華東路一段366號,06-2090782
全家台南中平店,018973,58973,台南市東區中華東路一段88號,06-2094533
全家台南新義統店,015601,50847,臺南市東區仁和路101-1號,"06-7035513, 06-2897432"
全家台南仁東店,017016,51683,臺南市東區仁東街32號1樓,"06-7031533, 06-2605708"
全家台南車頭店,019075,59075,台南市東區北門路二段2號,06-2239803
全家台南一中店,015966,18476,台南市東區民族路一段1號,"06-7035468, 06-2087710"
全家台南東平店,018018,17191,"台南市東區光明街217號,219號","06-7035507, 06-2002921"
全家台南東成店,012923,50320,台南市東區自由路三段223號,"06-7035508, 06-2897438"
全家台南新博店,016533,18362,台南市東區育樂街170號1樓,"06-7035469, 06-2094958"
全家台南新樓店,013885,53885,台南市東區東門路一段57號1樓,"06-7030129, 06-2085046"
全家台南東文店,018071,19858,臺南市東區東門路三段168號,"06-7035515, 06-2603556"
全家台南林森店,015302,17227,台南市東區林森路二段188號,"06-7035470, 06-2376800"
全家台南榮寶店,016905,17681,台南市東區長榮路一段236號1樓,"06-7035471, 06-2363772"
全家台南崇善店,017196,19727,臺南市東區崇善路688號,"06-7035516, 06-2600746"
全家台南崇德店,018133,17140,台南市東區崇德路737號,"06-7035473, 06-2673558"
全家台南東德店,014977,50202,臺南市東區崇德路128號,"06-7035517, 06-2908347"
全家台南新崇義店,014872,54140,台南市東區崇德路471-3號,"06-7030393, 06-2908348"
全家台南富農一店,015801,19759,臺南市東區富農街二段3號1樓,"06-7035518, 06-3359083"
全家台南裕聖店,017803,55816,台南市東區裕信路383號,"06-7030351, 06-3314522"
全家台南裕義店,018501,58501,台南市東區裕義路576號,"06-7030506, 06-3316762"
