店舖名稱,店舖號,服務編號,地址,電話
全家台東大同店,018554,18064,台東縣台東市大同路163號1樓,"089719247, 089360595"
全家台東文化店,013866,53866,"台東縣台東市中山路345號1,2樓","089719131, 089341912"
全家台東鐵花店,017383,17826,台東縣台東市中華路一段575號,"089719219, 089338872"
全家台東豐里店,017235,17801,台東縣台東市中華路三段257號1樓,"089719185, 089318596"
全家台東寶桑店,015621,18348,台東縣台東市中興路一段211號,"089719218, 089239683"
全家台東中興店,018075,17761,台東縣台東市中興路二段442號一樓,"089719248, 089239473"
全家台東興昌店,016212,53784,臺東縣臺東市文昌路2號壹樓,"089719162, 089233387"
全家台東豐樂店,012061,17775,台東縣台東市正氣北路526號一樓,"089719215, 089325869"
全家台東南京店,018473,18010,台東縣台東市正氣路384號一樓,"089719243, 089332782"
全家台東志航店,019098,52523,台東縣台東市志航路三段3號,089236374
全家台東南王店,015777,18281,台東縣台東市更生北路603號,"089719177, 089224995"
全家台東維新店,015220,14673,台東縣台東市更生路575號,"089719183, 089347383"
全家台東車站店,018701,58701,台東市岩灣路101巷598號,"089719176, 089237179"
全家台東知本店,016978,17754,台東縣台東市青海路四段472號1樓,"089719210, 089512191"
全家台東博愛店,015913,55913,台東縣台東市博愛路486號,"089719169, 089341217"
全家台東新生店,019063,17752,台東縣台東市開封街646號1樓,"089719246, 089341973"
全家台東四維店,018495,17825,台東縣台東市傳廣路399號1樓,"089719242, 089348139"
全家台東豐榮店,018613,17927,台東縣台東市豐榮路187號,"089719213, 089341938"
全家台東和平店,018000,17742,台東縣卑南鄉太平村和平路102號一樓,"089719209, 089380790"
全家卑南初鹿店,015648,17802,台東縣卑南鄉初鹿村忠孝路85號,"089719241, 089570655"
全家台東賓朗店,017326,17788,台東縣卑南鄉賓朗路292號,"089719217, 089236230"
全家台東龍泉店,018032,17753,台東縣卑南鄉溫泉村龍泉路55號一樓之1,"089719211, 089514523"
全家台東鹿野店,018740,17877,台東縣鹿野鄉鹿野村中華路一段98號一樓,"089719221, 089561502"
全家關山民族店,011740,51740,台東縣關山鎮里壟里民族路53-1號,"089719170, 089814885"
全家台東關山店,017000,17747,台東縣關山鎮里瓏里民權路1之6號一樓,"089719223, 089814083"
全家池上車站店,018361,53173,台東縣池上鄉忠孝路269號,"089719130, 089863755"
全家成功中華店,017618,17824,台東縣成功鎮中華路123號1樓,"089719245, 089853820"
全家台東達人店,016455,18776,台東縣達仁鄉復興路154-2號,"089719196, 089702689"
