店舖名稱,店舖號,服務編號,地址,電話
全家嘉義八德店,018994,52521,嘉義市西區八德路240號,"05-3208091, 05-2911792"
全家嘉義上新店,015634,18640,嘉義市西區上海路322號全部,"05-3209365, 05-2840713"
全家嘉義車站店,018697,58697,嘉義市西區中山路528號,"05-3208254, 05-2273991"
全家嘉義德慶店,016450,17812,嘉義市西區中興路319之3號1樓,"05-3209359, 05-2319477"
全家嘉義鑫愛店,016398,54881,嘉義市西區仁愛路508號,"05-3208086, 05-2277893"
全家嘉義仁安店,017596,57596,嘉義市西區仁愛路175號1樓,"05-3208104, 05-2843206"
全家嘉義玉山店,014498,18504,嘉義市西區世賢路二段468號,"05-3209366, 05-2842603"
全家嘉義北園店,018731,18098,嘉義市西區北社尾路31號1樓,"05-3209370, 05-2382806"
全家嘉義北港店,017656,57656,嘉義市西區北港路1465號,"05-3208134, 05-2387313"
全家嘉義湖瑞店,019165,18720,嘉義市西區民生南路589號,"05-3209351, 05-2841584"
全家嘉義光路店,012459,19832,嘉義市西區民生南路528號1樓,"05-3209367, 05-2843075"
全家嘉義憶富店,012699,18179,嘉義市西區民權路396號1樓,"05-3209360, 05-2229931"
全家嘉義大山店,018766,58766,嘉義市西區33鄰玉山路491號,"05-3209354, 05-2842826"
全家嘉義自強店,018383,17820,"嘉義市西區自強街86號,88號,90號,92號1樓","05-3209368, 05-2863047"
全家嘉義中榮店,016620,56171,嘉義市西區嘉義市西區世賢路二段600號,"05-3208235, 05-2844853"
全家嘉義保安店,016461,54409,嘉義市西區保安二路159號,"05-3208125, 05-2911249"
全家嘉義南京店,019012,17421,嘉義市西區南京路423號427號,"05-3209369, 05-2838475"
全家嘉義漢口店,017891,52425,嘉義市西區南京路392號,"05-3208140, 05-2844070"
全家嘉義國楊店,016757,17453,嘉義市西區垂楊路434號,"05-3209361, 05-2165585"
全家嘉義向榮店,013500,18326,嘉義市西區國華街519號1樓,"05-3209363, 05-2319535"
全家嘉義新榮店,016758,54049,嘉義市西區新榮路337號之2　1樓,05-2278676
全家嘉義興雅店,017415,18837,嘉義市西區興雅路72號,"05-2335317, 05-2910040"
全家嘉義興達店,015180,17873,嘉義市西區興達路318號1樓,"05-3208113, 05-2319795"
全家嘉義龍興店,018137,58137,嘉義市西區興達路166號附1,"05-3209372, 05-2911081"
全家嘉義聖馬店,016160,19235,嘉義市東區大雅路二段565號二樓商店街,"05-3208107, 05-2777467"
全家嘉義藍潭店,017900,57900,嘉義市東區大雅路二段557號,"05-3208224, 05-2764625"
全家嘉義東雅店,015500,19029,嘉義市東區文雅街41號,"05-3208101, 05-2763383"
全家嘉義台林店,015798,17519,嘉義市東區台林街260號,"05-3208118, 05-2756775"
全家嘉義仁義店,017292,52121,嘉義市東區台林街99號,"05-3204023, 05-2766504"
全家嘉義芳草店,016430,50388,嘉義市東區15鄰立仁路8號一樓,"05-3209353, 05-2235698"
全家嘉義祥鳳店,018545,53375,嘉義市東區吳鳳北路112號1F,"05-3208191, 05-2229819"
全家嘉義新東義店,016431,50519,嘉義市東區林森東路319巷61號,"05-3208116, 05-2789206"
全家嘉義保健店,018400,18532,嘉義市東區保健街149號,"05-3208137, 05-2778270"
全家嘉義朝陽店,015800,50672,嘉義市東區垂楊路132號壹樓,"05-3209362, 05-2764353"
全家嘉義宣信店,017161,17328,嘉義市東區宣信街248號,"05-3208108, 05-2292039"
全家嘉義博東店,017972,19810,嘉義市東區博東路183號,"05-3208119, 05-2788717"
全家嘉義五圓店,018408,58408,嘉義市東區圓福街118巷2弄126號1樓,"05-3209403, 05-2760913"
全家嘉義興安店,018672,51333,嘉義市東區興安街199號,"05-3208110, 05-2226570"
全家嘉義日新店,017380,19870,嘉義市東區彌陀路238巷69號,"05-3208112, 05-2788326"
