店舖名稱,店舖號,服務編號,地址,電話
全家梅山公園店,017971,55112,嘉義縣梅山鄉公園路338號1樓,"05-3208079, 05-2621278"
全家竹崎中山店,016396,17329,嘉義縣竹崎鄉中山路282號,"05-3209357, 05-2616307"
全家中埔和興店,012595,18219,嘉義縣中埔鄉和興村中山路五段943號,"05-3209355, 05-2394800"
全家中埔中華店,011680,51680,嘉義縣中埔鄉和睦村中華路678號,"05-3208036, 05-2390438"
全家中埔興化店,018069,52673,嘉義縣中埔鄉富裕路413號,"05-3208038, 05-2399132"
全家中埔明珠店,011787,51787,嘉義縣中埔鄉社口村19鄰檨仔林23-7號,"05-3208067, 05-2538162"
全家水上福德店,016081,18181,"嘉義縣水上鄉中正路161號,163號1樓","05-3208133, 05-2681562"
全家水上鎮安店,016161,17667,嘉義縣水上鄉寬士村崎仔頭31之2號,"05-3209350, 05-2352125"
全家水上中興店,018846,58295,嘉義縣水上鄉中興路279號(配送用),"05-3208240, 05-2684426"
全家鹿草福祿店,017714,19777,"嘉義縣鹿草鄉西井村鹿草路290號,290號附1","05-3208106, 05-3753947"
全家太保嘉新店,017710,17727,"嘉義縣太保市中山路一段806號1樓,2樓","05-3208121, 05-2386407"
全家太保麻魚店,017195,18718,嘉義縣太保市中山路二段185號,"05-3208123, 05-2385049"
全家太保縣府店,016128,50199,嘉義縣太保市祥和三路東段212號一樓,"05-3208122, 05-3627137"
全家朴子南通店,014063,17443,"嘉義縣朴子市南通路三段767號,769號1樓","05-3208130, 05-3707834"
全家朴子嘉庚店,017051,56720,嘉義縣朴子市嘉朴路西段6號,"05-3208146, 05-3625445"
全家朴子鴨母寮店,016126,55986,嘉義縣朴子市鴨母寮1之18號,"05-3209216, 05-3692982"
全家朴子四海店,017452,19871,嘉義縣朴子市應菜埔29-6號,"05-3208127, 05-3707141"
全家東石蚵庄店,018288,18338,嘉義縣東石鄉東石村東石5號附6,"05-3208132, 05-3734531"
全家民雄工業店,019071,59071,"嘉義縣民雄鄉福樂村中華路12號1樓,B1",05-2219591
全家民雄神農店,016781,51681,嘉義縣民雄鄉三興村公園路370號壹樓,"05-3208037, 05-2723206"
全家民雄正大店,013883,53883,嘉義縣民雄鄉正大路一段919號1樓,"05-3209859, 05-2208968"
全家民雄新金興店,017132,51682,嘉義縣民雄鄉金興村21鄰忠義街83號全棟,"05-3208039, 05-2203668"
全家民雄興平店,014549,53681,嘉義縣民雄鄉昇平路42號,"05-3209232, 05-2265398"
全家民雄雙福店,017130,17773,"嘉義縣民雄鄉雙福村建國路二段80號,82號一樓","05-3209376, 05-2205479"
全家民雄埤角店,016810,19675,嘉義縣民雄鄉福樂村埤角106號,"05-3209375, 05-2206503"
全家民雄福樂店,017131,17374,嘉義縣民雄鄉埤角路2之91號一樓,"05-3209373, 05-2219351"
全家中正新創店,013856,18393,嘉義縣民雄鄉大學路168號(共同科教室),"05-2722823, 05-2722824"
全家大林佳能店,017222,57222,嘉義縣大林鎮大埔美園區一路46號二樓,"05-3208094, 05-2955238"
全家大林站前店,015458,55458,嘉義縣大林鎮中山路26號1樓,"05-3209202, 05-2649515"
全家大林大發店,018576,56386,嘉義縣大林鎮中正路485號,"05-3208231, 05-2641039"
全家大林民生店,017742,57742,嘉義縣大林鎮中興路二段82號及空地約190坪,"05-3208204, 05-2641797"
全家大林大埔美店,018939,51402,嘉義縣大林鎮互助社區15號,"05-3209378, 05-2955892"
全家大林明華店,017771,57771,嘉義縣大林鎮民生北路61號,"05-3208214, 05-2642683"
全家大林慈院店,013263,52115,嘉義縣大林鎮民生路2號B1樓,"05-3204022, 05-2641294"
全家布袋上海店,017763,52344,嘉義縣布袋鎮上海路211號,"05-3208165, 05-3478805"
