店舖名稱,店舖號,服務編號,地址,電話
全家基隆車站店,018683,58683,基隆市仁愛區中山一路16之1號,"02-77303054, 02-24259160"
全家基隆廟口店,019180,15829,基隆市仁愛區仁三路33號一樓,"02-77230578, 02-24289166"
全家基隆仁三店,017147,57147,基隆市仁愛區仁三路59號壹樓,"02-77094069, 02-24286905"
全家基隆仁四店,013825,18684,基隆市仁愛區仁四路52號1樓,"02-77230577, 02-24265932"
全家基隆鑫忠孝店,018930,58791,基隆市仁愛區孝三路54號壹樓,"02-77163708, 02-24287939"
,,,,
,,,,
,,,,
全家基隆精一店,018477,10763,基隆市仁愛區精一路41號1樓,"02-77230581, 02-24249183"
全家基隆新正信店,015670,52807,基隆市信義區正信路181號,"02-77337534, 02-24665413"
全家基隆東信店,014689,19086,基隆市信義區東信路5號,"02-77230679, 02-24669537"
全家基隆信一店,017514,11239,基隆市信義區信一路148號,"02-77230680, 02-24241255"
全家基隆信義店,016213,56213,基隆市信義區信二路236-2號,"02-77337634, 02-24255383"
全家基隆新深溪店,017150,54610,基隆市信義區深溪路59號,"02-77397057, 02-24664970"
全家基隆新澳坑店,016283,53384,基隆市信義區深澳坑路107號,"02-77463255, 02-24683722"
全家基隆新祥豐店,014328,50945,基隆市中正區中正路623號壹樓,"02-77230567, 02-24627260"
全家基隆正港店,018271,51312,基隆市中正區中正路644號,"02-77230568, 02-24636316"
全家基隆鑫港店,018850,58850,基隆市中正區中正路18號壹樓,"02-77230817, 02-24275332"
全家基隆新中船店,015941,55941,基隆市中正區中船路82號,"02-77337952, 02-24245729"
全家基隆海大店,014688,53166,基隆市中正區北寧路2號,"02-77462481, 02-24636566"
全家基隆海洋店,014185,54185,基隆市中正區北寧路2號,"02-77304105, 02-24636575"
全家基隆富港店,018224,57090,"基隆市中正區北寧路250-8號1,2樓","02-77463642, 02-24699625"
全家基隆新和一店,016075,50693,基隆市中正區和一路110號,"02-77230570, 02-24635157"
全家基隆巴塞店,017986,57986,"基隆市中正區新豐街385號1,2樓","02-77301762, 02-24699472"
全家基隆新義二店,019145,54086,基隆市中正區義二路34號,"02-77304103, 02-24267442"
全家基隆觀海店,014867,15620,基隆市中正區觀海街136號138號一樓,"02-77230572, 02-24606545"
全家基隆觀山店,015396,55396,基隆市中正區觀海街61號,"02-77303721, 02-24607005"
全家基隆中山店,017306,16552,"基隆市中山區中山二路53號,53-1號","02-77230559, 02-24285091"
全家基隆囍旺店,018771,52623,"基隆市中山區中和路85巷12號1,2樓","02-77231410, 02-24370189"
全家基隆鑫大慶店,016318,53009,基隆市中山區中和路168巷2弄17號,"02-77462570, 02-24371195"
全家基隆華復店,017863,15295,基隆市中山區中華路2號復旦路1號3號一樓,"02-77230563, 02-24282937"
全家基隆樂華店,015669,16124,基隆市中山區西定路467號1樓,"02-77230562, 02-24285782"
全家基隆經國店,010822,14227,基隆市中山區復興路336-1號,"02-77230566, 02-24374320"
全家基隆新復興店,016319,53240,基隆市中山區復興路204-1號,"02-77463003, 02-24366769"
全家基隆新安和店,016733,55940,基隆市安樂區安和一街124號,"02-77337951, 02-24341775"
全家基隆長樂店,017208,16787,基隆市安樂區麥金路222號地下一樓(基隆長庚醫院),"02-77467114, 02-24331198"
全家基隆新樂強店,017009,51475,基隆市安樂區安樂路一段206號1樓,"02-77137228, 02-24254734"
全家基隆長庚店,015586,11168,基隆市安樂區安樂路二段157號,"02-77230670, 02-24326001"
全家基隆武勝店,017246,57246,基隆市安樂區武訓街72號壹樓,"02-77462262, 02-24328788"
全家基隆武嶺店,016926,15416,基隆市安樂區武嶺街181-6號1樓,"02-77230672, 02-24335573"
全家基隆情人湖店,014998,19021,基隆市安樂區基金一路208巷200號B1,"02-77230673, 02-24326530"
全家基隆新國揚店,016317,19659,基隆市安樂區基金一路121巷14號,"02-77096483, 02-34012842"
全家基隆萬金店,017089,51473,基隆市安樂區基金一路146號之地下室,"02-77137229, 02-24333875"
全家基隆基金店,016993,10992,基隆市安樂區基金三路145號,"02-77230676, 02-24329658"
全家基隆金城店,016582,56298,基隆市安樂區麥金路231-1號,"02-77463352, 02-34012667"
全家基隆樂富店,016459,15521,基隆市安樂區樂利二街62巷212號一樓,"02-77230671, 02-24349184"
全家基隆龍騰店,016218,52668,基隆市安樂區樂利三街8巷16號底四層,"02-77230205, 02-24334303"
全家基隆新樂群店,018585,54212,基隆市安樂區樂利三街128號,"02-77304106, 02-24337917"
全家基隆樂利店,016603,54876,基隆市安樂區樂利三街32巷12號,"02-77292537, 02-24322426"
全家八堵車站店,018557,58557,基隆市暖暖區八堵路142號,"02-77231734, 02-24567770"
全家基隆暖東店,013813,16872,基隆市暖暖區暖暖街163號,"02-77096374, 02-24582882"
全家基隆暖鑫店,016917,56917,基隆市暖暖區暖暖街461號壹樓,"02-77097456, 02-24586460"
全家基隆暖錠店,016023,52684,基隆市暖暖區源遠路189號,"02-77230603, 02-24594800"
全家基隆暖港店,016259,16419,基隆市暖暖區過港路254號,"02-77230685, 02-24574786"
全家基隆吉市店,016579,54942,基隆市暖暖區碇內街188-9號壹樓及夾層,"02-77464253, 02-24587239"
全家七堵工明店,017681,50268,基隆市七堵區工建路1-15號壹樓,"02-77230551, 02-24519520"
全家七堵自治店,016497,55529,基隆市七堵區自治街6號,"02-77337902, 02-24554377"
全家七堵新明德店,017207,50035,基隆市七堵區明德二路15-53號,"02-77230556, 02-24517467"
全家七堵長安店,014635,52391,基隆市七堵區長安街212巷2-4號一樓及地下室,"02-77136820, 02-24519266"
全家七堵大興店,015563,11444,基隆市七堵區南興路30號1樓,"02-77230557, 02-24560059"
全家基隆百福店,017151,15172,基隆市七堵區福二街204號1樓,"02-77230553, 02-24529098"
