店舖名稱,店舖號,服務編號,地址,電話
全家宜蘭大福店,011935,15012,"宜蘭縣宜蘭市大福路一段43號,45號","03-9108022, 03-9301476"
全家宜蘭學府店,015803,50489,宜蘭縣宜蘭市女中路三段239號一樓,"03-9108025, 03-9359495"
全家宜蘭縣府店,018047,58047,宜蘭縣宜蘭市中山路一段346號一至二樓,"03-9108330, 03-9253048"
全家宜蘭南館店,017252,15333,"宜蘭縣宜蘭市中山路三段20,22號1樓","03-9108139, 03-9367350"
全家宜蘭中山店,018152,57064,宜蘭縣宜蘭市中山路三段210號一樓,"03-9108176, 03-9312463"
全家宜蘭新吳沙店,014691,53756,宜蘭縣宜蘭市中山路五段81號一樓,03-9289296
全家宜蘭凱旋店,017176,19299,宜蘭縣宜蘭市公園路1號,"03-9108189, 03-9255043"
全家宜蘭文昌店,015317,19105,宜蘭縣宜蘭市文昌路120號,"03-9108192, 03-9356428"
全家宜蘭民族店,017526,57526,宜蘭縣宜蘭市民族路281號一樓,"03-9108164, 03-9334306"
全家宜蘭車站店,018689,58689,宜蘭縣宜蘭市光復路1號,"03-9108340, 03-9310485"
全家宜蘭新延平店,018036,58036,宜蘭縣宜蘭市延平路38之41號,"03-9108149, 03-9373446"
全家宜蘭東港店,017107,12886,"宜蘭縣宜蘭市東港路84號,86號一樓","03-9108007, 03-9373859"
全家宜蘭國道店,019003,59003,宜蘭縣宜蘭市東港路一段250號一樓,03-9387674
全家宜蘭進士店,013577,16660,宜蘭縣宜蘭市南橋路427號,"03-9108197, 03-9253745"
全家宜蘭陽大店,016307,56307,宜蘭縣宜蘭市校舍路169號B1,"03-9108281, 03-9385194"
全家宜蘭福泰店,017253,53031,宜蘭縣宜蘭市泰山路83號,"03-9108110, 03-9324868"
全家宜蘭新泰山店,017924,53320,宜蘭縣宜蘭市泰山路535號1樓,03-9313137
全家宜蘭金泰店,019028,59028,宜蘭縣宜蘭市泰山路102號一樓,03-9324534
全家宜蘭神農店,018305,11753,"宜蘭縣宜蘭市神農路一段102號；農權路257,25","03-9108240, 03-9313478"
全家宜蘭嵐峰店,016765,56765,宜蘭縣宜蘭市嵐峰路一段110號1樓,"03-9108296, 03-9326479"
全家宜蘭陽明店,015110,55110,宜蘭縣宜蘭市新民路148號,"03-9108107, 03-9324729"
全家頭城車頭店,017368,12388,宜蘭縣頭城鎮民鋒路32號,"03-9108276, 03-9782455"
全家宜蘭二城店,013576,52103,宜蘭縣頭城鎮青雲路一段238號1樓,"03-9108165, 03-9870089"
全家宜蘭大溪店,016092,12503,宜蘭縣頭城鎮濱海路五段470號472號,"03-9108275, 03-9781195"
全家宜蘭礁溪店,015027,11743,宜蘭縣礁溪鄉中山路二段144號,"03-9108295, 03-9870468"
全家礁溪仁愛店,017270,57270,宜蘭縣礁溪鄉仁愛路16號1樓,"03-9108154, 03-9872033"
全家礁溪健康店,019182,56312,宜蘭縣礁溪鄉健康路50號1樓之1,"03-9108272, 03-9874587"
全家礁溪精華店,018596,53114,宜蘭縣礁溪鄉礁溪路五段118號1樓,"03-9108088, 03-9888237"
全家礁溪關帝店,019183,59029,宜蘭縣礁溪鄉礁溪路四段26號1＆2樓,03-9880064
全家壯圍吉祥店,013979,12762,宜蘭縣壯圍鄉壯五路278號1樓,"03-9108003, 03-9388144"
全家壯圍美功店,014302,16965,宜蘭縣壯圍鄉美功路一段168號,"03-9108005, 03-9309263"
全家宜蘭內城店,012587,16244,宜蘭縣員山鄉內城路455號1樓,"03-9108262, 03-9230814"
全家宜蘭員山店,017106,15175,宜蘭縣員山鄉員山路一段122號1樓,"03-9108263, 03-9233360"
全家宜蘭內員山店,012955,16336,"宜蘭縣員山鄉溫泉路10號,10之1號","03-9108271, 03-9233004"
全家羅東南豪店,018906,51439,宜蘭縣羅東鎮中正南路19號壹樓,"03-9108039, 03-9578051"
全家羅東南門店,018277,11721,宜蘭縣羅東鎮中正路1號,"03-9108310, 03-9574266"
全家羅東公正店,014626,10529,"宜蘭縣羅東鎮公正路551號,553號,555號","03-9108321, 03-9511509"
全家羅東站前店,014481,54481,宜蘭縣羅東鎮公正路61號,"03-9108037, 03-9561480"
全家羅東車站店,018563,58563,宜蘭縣羅東鎮公正路2號,"03-9108241, 03-9565416"
全家羅東後站店,018895,58895,宜蘭縣羅東鎮公正路2號,"03-9108242, 03-9564863"
全家羅東北城店,017630,50171,宜蘭縣羅東鎮四育路71號,"03-9108322, 03-9616687"
全家羅東天祥店,017109,15128,宜蘭縣羅東鎮南昌東街39號1樓,"03-9108325, 03-9534547"
全家羅東新興東店,014107,53838,宜蘭縣羅東鎮純精路一段236號一樓,"03-9108118, 03-9545949"
全家羅東復興店,013765,12799,宜蘭縣羅東鎮復興路二段102號1樓,"03-9108323, 03-9559720"
全家羅東倉前店,015898,15923,宜蘭縣羅東鎮興東路161號一樓,"03-9108320, 03-9578240"
全家羅東金鼎店,019009,16245,宜蘭縣羅東鎮興東路8之1號1樓,"03-9108326, 03-9578277"
全家宜蘭天送埤店,016888,19339,宜蘭縣三星鄉三星路七段322號,"03-9108015, 03-9894021"
全家大同南山店,015852,55852,宜蘭縣大同鄉泰雅路七段137號,"03-9108175, 03-9809056"
全家五結國道店,017505,50036,宜蘭縣五結鄉中興路一段177號1樓,03-9604824
全家宜蘭五結店,018518,15506,"宜蘭縣五結鄉五結中路17,19號","03-9108016, 03-9603371"
全家五結興盛店,012415,12678,宜蘭縣五結鄉五結路三段751號1F,"03-9108017, 03-9553470"
全家五結濱海店,017110,15807,宜蘭縣五結鄉季新村五濱路二段230號一樓,"03-9108020, 03-9503632"
全家五結鑫利成店,014597,53204,宜蘭縣五結鄉利成路一段5-1號,"03-9108089, 03-9603740"
全家五結利澤店,018276,15282,宜蘭縣五結鄉利澤村利成路二段390號一樓,"03-9108019, 03-9604483"
全家宜蘭薪傳店,017312,52178,宜蘭縣五結鄉傳藝路二段156號一樓及停車場,"03-9108068, 03-9601397"
全家冬山群英店,015068,14202,宜蘭縣冬山鄉冬山路三段595號,"03-9108115, 03-9583538"
全家冬山永興店,015067,54111,宜蘭縣冬山鄉永興路一段1號1樓,"03-9108099, 03-9587433"
全家冬山義成店,016142,14695,宜蘭縣冬山鄉義成路三段三一六號一樓,"03-9108021, 03-9585625"
全家冬山義新店,018250,54568,宜蘭縣冬山鄉義成路三段409號,"03-9108038, 03-9587507"
全家宜蘭廣源店,016970,19300,宜蘭縣冬山鄉廣興路48號,"03-9108002, 03-9517357"
全家宜蘭廣鑫店,011685,51685,宜蘭縣冬山鄉廣興路267號,"03-9109653, 03-9518485"
全家蘇澳馬賽店,017552,15031,宜蘭縣蘇澳鎮大同路7號1樓,"03-9108008, 03-9909822"
全家蘇澳車頭店,011059,15551,宜蘭縣蘇澳鎮中山路一段63號一樓,"03-9108329, 03-9952603"
全家蘇澳聖湖店,018417,15565,宜蘭縣蘇澳鎮中山路二段31號一樓,"03-9108009, 03-9954216"
全家蘇澳國道店,018928,58928,宜蘭縣蘇澳鎮蘇新路81號1樓,03-9596621
全家宜蘭南澳店,018823,58823,宜蘭縣南澳鄉蘇花路二段335號一樓,"03-9108324, 03-9984452"
全家宜蘭東澳店,016616,52018,宜蘭縣南澳鄉東岳村蘇花路三段201號一樓,"03-9108087, 03-9986229"
