店舖名稱,店舖號,服務編號,地址,電話
全家屏東大崇店,015382,19833,屏東縣屏東市大同北路102號,"08-8218087, 08-7327312"
全家屏東正裕店,014403,19237,屏東縣屏東市中正路688-1號,"08-8218090, 08-7367146"
全家屏東車頭店,018700,58700,屏東縣屏東市公勇路62號1樓,"08-8219004, 08-7518198"
全家屏東愛園店,019113,54362,屏東縣屏東市公園路21號1樓,"08-8218589, 08-7329836"
全家屏東民榮店,016225,18320,"屏東縣屏東市民生路12-2,12-3號","08-8218091, 08-7224302"
全家屏東大埔店,019085,51639,屏東縣屏東市民族路303號一樓,"08-8203020, 08-7326415"
全家屏東屏榮店,018919,53446,屏東縣屏東市民學路148號一樓,"08-8218656, 08-7211895"
全家屏東華盛店,012598,18009,屏東縣屏東市永大路66號一樓,"08-8218573, 08-7517627"
全家屏東長安店,012563,52019,屏東縣屏東市光復路348號一樓,"08-8218582, 08-7321979"
全家屏東中華店,016592,50055,屏東縣屏東市自由路422號,"08-8218088, 08-7361342"
全家屏東民享店,016350,54175,屏東縣屏東市林森路23號1樓,"08-8218699, 08-7217523"
全家屏東武成店,013463,18303,屏東縣屏東市武成街82-5號,"08-8218096, 08-7515082"
全家屏東商大店,018607,58607,屏東縣屏東市民生東路51號(圖資大樓一樓),"08-8219126, 08-7217393"
全家屏東昌賢店,019141,50619,屏東縣屏東市建民路63號,"08-8218093, 08-7514933"
全家屏東華敬店,017420,51396,屏東縣屏東市莊敬街一段29號,"08-8218583, 08-7364107"
全家屏東徐州店,017635,18305,"屏東縣屏東市勝利路197之6,197之7號","08-8218097, 08-7322293"
全家屏東瑞光店,018530,52002,屏東縣屏東市瑞光路二段86號,"08-8218621, 08-7210590"
全家屏東福光店,014526,17678,屏東縣屏東市廣東南路90號1樓,"08-8218615, 08-7519167"
全家屏東勝利店,017053,17378,屏東縣屏東市廣東路961號,"08-8218099, 08-7323220"
全家屏東豐榮店,018073,52106,屏東縣屏東市廣東路458號一樓,"08-8218867, 08-7364252"
全家屏東廣興店,016277,56071,屏東縣屏東市廣東路722號,"08-8218060, 08-7364763"
全家屏東公館店,017696,57696,屏東縣屏東市龍華路178號,"08-8218084, 08-7518978"
全家屏東歸來店,013665,17991,屏東縣屏東市歸義巷34號一樓,"08-8218618, 08-7214149"
全家九如豐源店,016432,52853,屏東縣九如鄉九如路二段173-1號,"08-8218571, 08-7395653"
全家九如東寧店,015218,18511,屏東縣九如鄉東寧路215號,"08-8218630, 08-7397995"
全家里港豪吉店,017955,57955,屏東縣里港鄉三和路121之5號,"08-8218667, 08-7733165"
全家里港永樂店,016371,18228,屏東縣里港鄉永樂路4＆6號,"08-8218719, 08-7756890"
全家高樹農會店,015196,55196,屏東縣高樹鄉南興路141-5號,"08-8218005, 08-7967540"
全家鹽埔高朗店,019122,53645,屏東縣鹽埔鄉高朗村三民路80-1號,"08-8218092, 08-7930385"
全家鹽埔豐年店,015023,19625,屏東縣鹽埔鄉光復路89號,"08-8203015, 08-7936175"
全家鹽埔大仁店,014738,54738,屏東縣鹽埔鄉維新路20號(學生餐廳),"08-8218658, 08-7628180"
全家鹽埔新圍店,016967,56967,屏東縣鹽埔鄉維新路90之2號ㄧ樓,"08-8218054, 08-7937325"
全家長治繁華店,018472,18194,屏東縣長治鄉繁華村中山路11-1號,"08-8203005, 08-7620282"
全家長治交流店,018656,51220,屏東縣長治鄉繁華村水源路195號,"08-8203002, 08-7626098"
全家長治德和店,016485,56047,屏東縣長治鄉德和路66號,"08-8218056, 08-7625826"
全家長治合潭店,015840,14302,屏東縣長治鄉潭頭路192-5號。192-6號,"08-8203003, 08-7216029"
全家麟洛麟趾店,015718,14689,屏東縣麟洛鄉中山路417號,"08-8203013, 08-7212575"
全家竹田農會店,018827,58827,屏東縣竹田鄉中正路76-5號,"08-8219130, 08-7713117"
全家內埔豐田店,016089,56089,屏東縣內埔鄉中正路453號,"08-8218095, 08-7783743"
全家內埔文化店,016866,53543,屏東縣內埔鄉中興路92號1樓,"08-8218657, 08-7782022"
全家內埔光明店,017296,51291,屏東縣內埔鄉內埔村光明路613號1樓,"08-8218633, 08-7789851"
全家內埔埔勝店,016865,18870,屏東縣內埔鄉南寧路164-1號,"08-8218675, 08-7784118"
全家內埔壽比店,018072,14978,屏東縣內埔鄉老埤村壽比路742號,"08-8218690, 08-7709493"
全家內埔學苑店,016116,56116,屏東縣內埔鄉壽比路228號一樓,"08-8218610, 08-7785950"
全家內埔屏科大店,015878,55541,屏東縣內埔鄉學府路1號,"08-8218089, 08-7740519"
全家萬丹萬鑫店,014487,54487,屏東縣萬丹鄉萬丹路一段367號,"08-8218609, 08-7760552"
全家潮州三林店,016535,19187,屏東縣潮州鎮三林路185號一樓,"08-8218050, 08-7898807"
全家潮州長興店,019140,18953,屏東縣潮州鎮長興路26號,"08-8218053, 08-7895965"
全家潮州車頭店,017637,17597,屏東縣潮州鎮新生路77號,"08-8218052, 08-7804081"
