店舖名稱,店舖號,服務編號,地址,電話
全家彰化新三民店,017516,50048,彰化縣彰化市三民路270號,"04-7062429, 04-7280542"
全家彰化台鐵店,018695,58695,彰化縣彰化市三民路1號,"04-7061065, 04-7236431"
全家彰化山中美店,017472,57472,彰化縣彰化市山中街96號,"04-7060124, 04-7387141"
全家彰化漢銘店,011968,13212,彰化縣彰化市中山路一段366號,"04-7062513, 04-7138069"
全家彰化大通店,015150,13605,彰化縣彰化市中山路一段117之3號1F,"04-7062341, 04-7511811"
全家彰化建台店,015388,14976,彰化縣彰化市中興路103-8號1樓,"04-7062405, 04-7113410"
全家彰化建國店,015327,14237,"彰化縣彰化市介壽北路1號,美育館1樓","04-7062406, 04-7112631"
全家彰化再安店,017515,13911,"彰化縣彰化市介壽南路16號,18號1樓","04-7062343, 04-7114746"
全家彰化八卦山店,015497,14125,彰化縣彰化市公園路一段46號,"04-7062329, 04-7270402"
全家彰化新天祥店,016936,56303,彰化縣彰化市四維路69巷2號,"04-7060309, 04-7627152"
全家彰化鐵皮店,017388,57388,彰化縣彰化市平和十四街67號,"04-7060084, 04-7511950"
全家彰化新再旺店,017083,51336,彰化縣彰化市民族路439號,"04-7062430, 04-7289800"
全家彰化樂活店,018337,58337,"彰化縣彰化市成功路85號1樓,2樓","04-7060176, 04-7285748"
全家彰化自強店,018399,13756,彰化縣彰化市自強南路61號一樓,"04-7062347, 04-7278997"
全家彰化彰興店,017443,57443,彰化縣彰化市延平路5號,"04-7060094, 04-7114730"
全家彰化林森店,013662,13109,"彰化縣彰化市林森路197,199,201號","04-7062348, 04-7638790"
全家新秀傳店,018138,58138,彰化縣彰化市南平街61巷51號,04-7119667
全家彰化再興店,018061,13421,彰化縣彰化市南郭路一段191巷16號,"04-7062346, 04-7201278"
全家彰化金泰店,016641,56641,彰化縣彰化市泰和路一段182號1樓,"04-7060193, 04-7227346"
全家彰化金平店,016857,18993,彰化縣彰化市崙平北路108號,"04-7062349, 04-7616972"
全家彰化新彰基店,018065,19165,彰化縣彰化市博愛街101號1樓,"04-7062450, 04-7287141"
全家彰化金師店,019016,51316,彰化縣彰化市進德路27號壹樓,"04-7062359, 04-7289817"
全家彰化順風店,018066,53273,彰化縣彰化市實踐路48號,"04-7062121, 04-7289313"
全家彰化香山店,016291,18790,彰化縣彰化市彰南路二段352號1樓,"04-7062423, 04-7384385"
全家彰化彰南店,012031,13219,"彰化縣彰化市彰南路三段302號,304號","04-7062512, 04-7374666"
全家彰化金馬金店,018227,58227,彰化縣彰化市彰美路一段臨282號,"04-7060125, 04-7350522"
全家彰化金馬店,012561,13894,彰化縣彰化市彰馬路246之1號,"04-7062362, 04-7624805"
全家彰化線東店,016273,18700,彰化縣彰化市線東路一段567號,"04-7062515, 04-7635121"
全家芬園金馬店,016782,19167,彰化縣芬園鄉信義路5號,"04-97008758, 0492510284"
全家花壇正花店,016292,18789,彰化縣花壇鄉中山路一段380號,"04-7062550, 04-7867840"
全家花壇金花店,013498,18995,彰化縣花壇鄉中正路356號壹樓,"04-7062551, 04-7860631"
全家花壇白沙坑店,019106,59106,彰化縣花壇鄉彰員路二段1208號,04-7868184
全家秀水金興店,016255,56255,彰化縣秀水鄉番花路297號右17,"04-7060183, 04-7686346"
全家秀水好水店,013742,53742,彰化縣秀水鄉福安村22鄰彰水路二段628號,"04-7060023, 04-7689103"
全家鹿港車站店,012081,13221,彰化縣鹿港鎮民權路202號,"04-7062461, 04-7740452"
全家鹿港媽祖店,017075,57075,彰化縣鹿港鎮光復路臨85號,"04-7060279, 04-7782548"
全家鹿港金埔崙店,019048,59048,彰化縣鹿港鎮建國路5號,04-7774921
全家鹿港天后店,015282,13138,彰化縣鹿港鎮後寮巷92號1樓,"04-7062460, 04-7754523"
全家鹿港祥園店,018707,54829,彰化縣鹿港鎮海浴路208-1號1樓,"04-7060151, 04-7772617"
全家鹿港柑仔店,017237,57237,彰化縣鹿港鎮鹿和路三段423號,"04-7060074, 04-7719430"
全家鹿港金寶店,014399,13430,彰化縣鹿港鎮鹿和路四段10號,"04-7062463, 04-7720101"
全家鹿港富麗店,016628,56628,彰化縣鹿港鎮鹿東路二段541號,04-7787891
全家鹿港鹿鼎店,012059,13805,彰化縣鹿港鎮鹿草路四段409號一樓,"04-7062467, 04-7712161"
全家福興福環店,018348,58348,彰化縣福興鄉沿海路四段382號,"04-7060196, 04-7770440"
全家福興福鹿店,013208,50257,彰化縣福興鄉復興路120號,"04-7062458, 04-7773653"
全家福興番花店,014187,54187,彰化縣福興鄉番花路一段853號,"04-7060108, 04-7795343"
全家福興福利店,016618,13628,"彰化縣福興鄉萬豐村彰水路50,52號1樓","04-7062457, 04-7697552"
全家彰化線西店,018782,13449,彰化縣線西鄉線西村中央路二段418號1樓,"04-7062456, 04-7589308"
全家和美金美店,013440,13986,彰化縣和美鎮和厝路一段臨216號,"04-7062541, 04-7567100"
全家和美德美店,018285,13462,彰化縣和美鎮美寮路二段557號1樓,"04-7062545, 04-7556549"
全家和美頂美店,011838,13811,彰化縣和美鎮美寮路二段2號1樓,"04-7062543, 04-7350643"
全家和美金好雅店,015912,55912,彰化縣和美鎮鹿和路五段188巷3號,"04-7060197, 04-7556320"
全家和美八大店,017082,51875,彰化縣和美鎮鹿和路六段310號,"04-7062621, 04-7563372"
全家和美家美店,012060,13796,彰化縣和美鎮嘉佃路8號一樓,"04-7062542, 04-7636905"
