店舖名稱,店舖號,服務編號,地址,電話
全家萬里頂社店,017753,16761,新北市萬里區大鵬里頂社1號,"02-77231516, 02-24081473"
全家野柳新港口店,018093,19477,新北市萬里區港東路68號,"02-77231517, 02-24927310"
全家金山中山店,018792,11192,新北市金山區中山路205號,"02-77231509, 02-24081325"
全家金山金美店,015029,19025,新北市金山區中山路252號,"02-77231510, 02-24081821"
全家金山金中店,018503,19122,新北市金山區中山路101號,"02-77231508, 02-24081427"
全家板橋振興店,011950,11148,新北市板橋區三民路一段31巷89弄3號,"02-77096043, 02-89612085"
全家板橋富山店,018862,11925,"新北市板橋區三民路一段94號,96號","02-77096045, 02-89641541"
全家板橋三民店,013905,10436,新北市板橋區三民路二段203之9號,"02-77096047, 02-29629497"
全家板橋長壽店,018719,10924,新北市板橋區三民路二段83號,"02-77096049, 02-29572584"
全家板橋樂福店,013653,52970,新北市板橋區三民路二段21巷6號1樓,"02-77302140, 02-29636100"
全家板橋長民店,017062,53534,新北市板橋區三民路二段153巷1-3號1樓＆B1,"02-77301976, 02-29558365"
全家板橋天和店,019084,56086,新北市板橋區三民路二段140號1樓,"02-77463157, 02-29556108"
全家板橋正隆店,017313,15271,新北市板橋區三民路二段正隆巷34號一樓,"02-77096073, 02-29578305"
全家板橋大仁店,019142,10355,新北市板橋區大仁街108之1號,"02-77096050, 02-29660911"
全家板橋興安店,019119,52068,新北市板橋區大觀路二段37巷38號1樓,"02-77294383, 02-29672852"
全家板橋浮州店,018498,58498,新北市板橋區大觀路二段265巷16號1樓,"02-77136214, 02-22755855"
全家板橋新站店,018877,51393,新北市板橋區中山路一段160號,"02-77096486, 02-29638358"
全家板橋市府店,013827,53827,新北市板橋區中山路一段161號B1,"02-77463872, 02-29646019"
全家板橋新光店,016230,56230,新北市板橋區中山路一段141-2號1樓,"02-77467330, 02-29550932"
全家板橋光復店,018986,12224,新北市板橋區中山路二段503號1樓,"02-77096055, 02-29643847"
全家板橋新光仁店,014633,51813,新北市板橋區中山路二段25號1-5樓,"02-77397630, 02-89539335"
全家板橋大庭店,017125,10305,新北市板橋區中正路191號,"02-77096056, 02-29670325"
全家板橋美庭店,015275,16297,"新北市板橋區中正路216巷21號,23號1樓","02-77096057, 02-29607413"
全家板橋瑞安店,017177,52545,新北市板橋區中正路395號1樓,"02-77136376, 02-29677282"
全家板橋花園店,016042,56042,新北市板橋區中正路一巷14號1樓,"02-77463112, 02-29679720"
全家板橋勝文店,016053,16738,新北市板橋區仁化街46號及46之1號1樓,"02-77096059, 02-82528693"
全家板橋新壽店,016326,50695,新北市板橋區介壽街17號1樓,"02-77096061, 02-22554220"
全家板橋文化店,014167,10469,新北市板橋區文化路一段280號,"02-77096063, 02-22544632"
全家板橋新民店,018251,12770,新北市板橋區文化路一段188巷42號1樓,"02-77096062, 02-22570742"
全家板橋致科店,015455,55455,新北市板橋區文化路一段313號1樓,"02-77397181, 02-22569453"
全家板橋新埔店,019020,59020,新北市板橋區文化路一段421巷4號1樓,02-22518500
全家板橋龍江店,016502,16540,"新北市板橋區文化路二段182巷3弄91,93號1樓","02-77136619, 02-82535436"
全家板橋立都店,017459,55190,新北市板橋區文化路二段259號1樓,"02-77464051, 02-22559171"
全家板橋興盛店,018414,53484,新北市板橋區文聖街161號1樓,"02-77301916, 02-82589625"
全家板橋新遠店,015272,51459,新北市板橋區四川路一段371號1樓,"02-77137271, 02-89539873"
全家板橋華德店,014123,52704,新北市板橋區四川路二段47巷3弄4號1樓,"02-77462331, 02-89676847"
全家板橋板川店,015962,53757,新北市板橋區四川路二段245巷7號1樓,"02-77463008, 02-89674495"
全家板橋四維店,014502,10412,新北市板橋區四維路180號,"02-77096071, 02-22542469"
全家板橋宏翠店,014578,53606,新北市板橋區四維路100號1樓,"02-77462149, 02-82572973"
全家板橋互維店,016945,56945,新北市板橋區四維路293號1樓,"02-77462117, 02-22586320"
全家板橋勝維店,017236,57236,新北市板橋區四維路318號1樓,"02-77305933, 02-82570329"
全家板橋廣隆店,016032,18707,新北市板橋區民生路一段33號1樓,"02-77096075, 02-29577130"
全家板橋金巨蛋店,010379,50379,新北市板橋區民生路二段250號1樓及b1,"02-77096077, 02-22573505"
全家板橋文興店,012688,52688,新北市板橋區民生路二段230號1樓,"02-77231360, 02-22579434"
全家板橋金典店,015869,54506,新北市板橋區民生路二段16之1號1樓＆夾層,"02-77293230, 02-29642035"
全家板橋金富店,015700,54923,新北市板橋區民生路三段27號1樓,"02-77294258, 02-22541621"
全家板橋懷治店,017791,57791,新北市板橋區民治街117號1樓,"02-77463646, 02-82529989"
