店舖名稱,店舖號,服務編號,地址,電話
全家新竹廟口店,015072,11253,新竹市北區中山路90號,"03-6215263, 03-5244817"
全家新竹水田店,019166,54048,新竹市北區中正路240號1樓,"03-6235209, 03-5222149"
全家新竹光田店,017836,11973,新竹市北區水田街146號1樓,"03-6215205, 03-5312245"
全家新竹新民店,015209,12023,新竹市北區北大路252號,"03-6215258, 03-5241565"
全家新竹中山店,015051,16993,新竹市北區四維路91號,"03-6215226, 03-5268570"
全家新竹新美店,018384,50039,新竹市北區田美三街47號,"03-6215260, 03-5421870"
全家新竹光華店,017230,18761,新竹市北區光華北街63號,"03-6215227, 03-5427691"
全家新竹大竹店,015598,10714,新竹市北區西大路848號,"03-6215197, 03-5326698"
全家新竹西大店,015130,16833,"新竹市北區西大路402,404號1樓","03-6215223, 03-5258280"
全家新竹大富店,018056,54216,新竹市北區西大路527號,"03-6214089, 03-5240080"
全家新竹師專店,018463,11019,新竹市北區西門街203號1樓,"03-6215251, 03-5245011"
全家新竹遠百店,019061,53421,"新竹市北區西門街101號1,2樓","03-6213951, 03-5213733"
全家新竹金鵬店,014108,54006,新竹市北區延平路一段388號1樓,"03-6213812, 03-5229126"
全家新竹漁港店,017437,51782,新竹市北區東大路四段269號1樓,"03-6214590, 03-5364060"
全家新竹武東店,018971,16265,新竹市北區武陵路71號1樓,"03-5409474, 03-5409154"
全家新竹鐵道店,017068,16451,新竹市北區武陵路268號1樓,"03-6215285, 03-5339257"
全家新竹荷蘭村店,016447,18975,新竹市北區武陵路175巷2號1樓,"03-5451957, 03-5451966"
全家新竹新武陵店,017010,19182,新竹市北區武陵路267號1樓,"03-6215259, 03-5426961"
全家新竹天群店,018795,53643,"新竹市北區武陵路36-1號1,2樓","03-6213121, 03-5322090"
全家新竹金竹店,013053,52869,新竹市北區金竹路115號1樓,"03-6212073, 03-5327930"
全家新竹經城店,018130,52490,新竹市北區經國路一段339號1樓,"03-6214289, 03-5344679"
全家新竹台大醫店,018526,58526,新竹市北區經國路一段442巷25號,03-5330922
全家新竹國光店,017193,14528,新竹市北區經國路二段190號1樓,"03-6215253, 03-5334587"
全家新竹客進店,015829,55703,新竹市北區經國路二段549號,"03-6235193, 03-5250228"
全家新竹元太店,014827,54827,新竹市東區力行一路3號B1員工餐廳,"03-6213792, 03-5779271"
全家新竹旺宏店,012254,11136,新竹市東區科學園區力行路16號,"03-5631730, 03-5631811"
全家新竹大同店,013835,15261,新竹市東區大同路16號18號一樓,"03-6215217, 03-5277520"
全家新竹交大店,017757,12100,新竹市東區大學路1001之2號一樓,"03-5739304, 03-5739817"
全家新竹科館店,013052,16450,新竹市東區工業東二路1號1樓,"03-6215247, 03-5678869"
全家新竹金站店,017278,57278,"新竹市東區中正路100號地下室,1-2樓","03-6235054, 03-5281022"
全家新竹經華店,019190,11259,新竹市東區中華路一段101號,"03-6215235, 03-5341261"
全家新竹台鐵店,018693,58693,新竹市東區中華路二段445號1樓,"03-6212163, 03-5281221"
全家新竹金高店,018738,58738,新竹市東區中華路二段1號,"03-6213002, 03-5425585"
全家新竹新四維店,018190,51916,"新竹市東區中華路三段8號1,2樓","03-6214097, 03-5247191"
全家新竹建美店,016448,19117,新竹市東區公道五路二段271號1樓,"03-6215245, 03-5165610"
全家新竹德安店,017439,50125,新竹市東區公道五路二段89號1樓,"03-6215265, 03-5711545"
全家新竹民樂店,017191,53033,新竹市東區民生路252號1樓,"03-6235040, 03-5359133"
全家新竹民族店,016807,15670,新竹市東區民族路139號一樓,"03-6215219, 03-5330300"
全家新竹慈雲店,018012,55581,新竹市東區立鵬路101號,"03-6235082, 03-5771028"
全家新竹科學店,016235,50776,新竹市東區光復路一段603號1樓,"03-6215246, 03-5794048"
全家新竹新龍安店,017890,53329,新竹市東區光復路一段525巷13號1樓,"03-6235113, 03-6687149"
全家新竹水木店,017242,57242,新竹市東區光復路二段101號水木餐廳1樓,"03-6235003, 03-5735178"
全家新竹竹蓮店,016037,14376,新竹市東區竹蓮街104號1樓,"03-6215209, 03-5620023"
全家新竹向陽店,016806,12792,新竹市東區明湖路646號,"03-6215206, 03-5208093"
全家新竹五福店,014935,15232,新竹市東區明湖路1255號1樓,"03-6215215, 03-5292709"
全家新竹轉運店,013963,53963,新竹市東區東南街1巷6號1樓,03-5616002
全家新竹新日光店,016531,18973,新竹市東區力行三路7號1樓(科學園區),"03-5797947, 03-5794586"
全家新竹頎邦二店,016756,19225,新竹市東區力行五路3號2樓(新竹科學園區),"03-5798894, 03-5678788"
全家新竹旺宏三店,018845,51147,新竹市東區力行路19號1樓(新竹科學園區),"03-5797724, 03-5771386"
全家新竹金元寶店,015596,50841,新竹市東區金山九街68號1樓,"03-6215240, 03-5794484"
全家新竹十一街店,018651,19751,新竹市東區金山街63號1樓部份,"03-6215231, 03-5799553"
全家新竹金科店,017261,50046,新竹市東區金山街162號1樓,"03-6215241, 03-5770176"
全家新竹師苑店,018640,12992,"新竹市東區南大路636號,638號一樓","03-6215250, 03-5618432"
全家新竹東大店,014018,14411,新竹市東區南大路83號1樓,"03-6215236, 03-5619916"
全家新竹新興店,018011,15758,新竹市東區南大路577號一樓,"03-6215220, 03-5629557"
全家新竹得美店,017960,57960,新竹市東區南大路256號1樓,"03-6235263, 03-5610687"
全家新竹建源店,015251,14363,新竹市東區建中一路60號1樓,"03-5748807, 03-5748788"
全家新竹公學店,016330,19806,新竹市東區建功一路99號1樓,"03-6215232, 03-5748909"
全家新竹竹科店,013181,14549,新竹市東區科學工業園區竹村七路7號1樓,"03-6215211, 03-5770320"
全家新竹晶電店,017707,56885,新竹市東區科學園區力行路21號3樓,03-5797849
全家新竹新民治店,015155,51981,新竹市東區8鄰科學園路88號1樓,"03-6214092, 03-6687741"
全家新竹食品店,016055,12873,新竹市東區食品路47號1樓,"03-6215248, 03-5753302"
全家新竹品明店,017192,16214,新竹市東區食品路406號1樓,"03-6215243, 03-5625101"
全家新竹頎邦店,016597,19219,新竹市東區展業一路10號9樓﹝新竹科學園區﹞,"03-6686874, 03-6687601"
全家新竹翠峰店,015210,12004,新竹市東區高翠路375號,"03-6215262, 03-6667396"
全家新竹瑞昱二店,014791,54791,新竹市東區園區二路9號1樓,"03-6213791, 03-5679706"
全家新竹新莊店,015963,19302,新竹市東區新莊街52號1樓,"03-6215261, 03-5794795"
全家新竹綠光店,016367,53505,新竹市東區綠水路63號1樓及地下室,"03-6214635, 03-5717181"
全家新竹龍山店,015830,55332,新竹市東區龍山東路228號1樓,"03-6213155, 03-6687058"
