店舖名稱,店舖號,服務編號,地址,電話
全家竹北新竹義店,018331,19855,新竹縣竹北市三民路88號1樓,"03-6215280, 03-5528422"
全家交大新研三店,017946,57946,新竹市東區大學路1001號研三舍,03-5160155
全家竹北環竹店,018307,53270,新竹縣竹北市9鄰中山路178號,"03-6212258, 03-5534117"
全家竹北中正西店,017158,50455,新竹縣竹北市中正西路149號1樓,"03-6215266, 03-5528316"
全家竹北宏豐店,016209,52319,新竹縣竹北市中正西路999號1樓,"03-6235049, 03-5564742"
全家竹北大河店,018100,52868,新竹縣竹北市中華路2-51號,"03-6212072, 03-5531113"
全家竹北六家店,012247,52247,新竹縣竹北市文興路二段529號全部,"03-6235048, 03-6681742"
全家竹北立錡店,017220,57220,新竹縣竹北市台元一街8號13樓,03-5601125
全家竹北宏福店,013774,14146,新竹縣竹北市光明一路236號1樓,"03-6215270, 03-6571083"
全家竹北新崙店,019006,59006,新竹縣竹北市光明十一路31號,03-5557018
全家竹北竹采店,018935,19220,新竹縣竹北市成功一街82號1樓後段,"03-6215269, 03-5505119"
全家竹北成功店,014963,54878,新竹縣竹北市成功八路160號一樓,"03-6235001, 03-6682618"
全家竹北自強店,018356,15010,新竹縣竹北市自強南路52號,"03-5505531, 03-5505530"
全家竹北科大店,018789,51228,新竹縣竹北市科大一路93號,"03-6215276, 03-6571794"
全家竹北泰和店,017229,51076,新竹縣竹北市泰和路169號,"03-6215277, 03-5518451"
全家竹北勝利店,017959,57959,新竹縣竹北市莊敬七街122號,"03-6235202, 03-6673368"
全家竹北俠隱店,018308,50987,新竹縣竹北市莊敬六街7號,"03-6215275, 03-6579422"
全家竹北嘉興店,013210,53210,新竹縣竹北市勝利七街二段66號1樓,"03-6235218, 03-6580147"
全家竹北大悅店,019184,56131,新竹縣竹北市勝利八街一段225號,"03-6214016, 03-6589350"
全家竹北大漾店,016043,56043,新竹縣竹北市博愛南路9號1樓,"03-6212149, 03-5550065"
全家竹北台元店,015673,50123,新竹縣竹北市博愛街523號1樓,"03-6215267, 03-5552394"
全家竹北新竹愛店,016233,50842,新竹縣竹北市博愛街422號一樓,"03-6215279, 03-5527543"
全家竹北台燿店,016356,56356,新竹縣竹北市博愛街803號,03-5555018
全家竹北湧億店,019151,57745,新竹縣竹北市博愛街273號,"03-6235004, 03-5552800"
全家竹北新華興店,019062,50040,新竹縣竹北市華興街287號1樓,"03-6215271, 03-5517240"
全家竹北後站店,018677,58677,新竹縣竹北市新泰路108-2號1樓(配送用),"03-6235306, 03-5510118"
全家竹北金十興店,018389,58389,新竹縣竹北市嘉興路498號(配送用),"03-6212162, 03-6586446"
全家竹北新溪店,018225,58225,新竹縣竹北市環北路五段398號(配送用),"03-6212160, 03-5528420"
全家竹北雙城店,017072,57072,新竹縣竹北市新瀧一街1號,"03-6214783, 03-6688362"
全家竹北時尚店,017642,57642,新竹縣竹北市嘉豐十一路一段31號1樓,"03-6235147, 03-6588915"
全家竹北嘉豐店,018653,19856,新竹縣竹北市嘉豐五路二段79號1樓,"03-6215281, 03-6578910"
全家竹北唯美店,018355,51689,新竹縣竹北市嘉豐六路二段19號,"03-6214077, 03-6683172"
全家竹北金豐店,019007,59007,新竹縣竹北市嘉豐南路二段92號,03-6580742
全家竹北縣政店,016158,51483,新竹縣竹北市縣政二路396號,"03-6214185, 03-5589342"
全家竹北新東元店,013084,53084,新竹縣竹北市縣政二路67號1樓,"03-6212013, 03-6573571"
全家竹北中國醫店,018144,58144,新竹縣竹北市興隆路一段199號地下1樓,03-6571613
全家竹北竹風店,016355,56355,新竹縣竹北市環北路一段113號,"03-6215131, 03-5530293"
全家湖口千禧店,013820,16975,新竹縣湖口鄉千禧路1號1樓,"03-6218016, 03-5696076"
全家湖口新工業店,018869,50196,新竹縣湖口鄉工業一路36號1樓,"03-6218023, 03-5977127"
全家湖口中大店,015236,14255,新竹縣湖口鄉中山路三段530號,"03-6991003, 03-6991002"
全家湖口仁和店,015170,11314,新竹縣湖口鄉鳳凰村仁和路45號,"03-6218017, 03-5971288"
全家湖口文和店,015172,50383,新竹縣湖口鄉仁和路178號180號,"03-6218019, 03-5976181"
全家湖口達仁店,017159,50197,新竹縣湖口鄉仁樂路118號,"03-6218025, 03-5977610"
全家湖口文化店,016715,50453,新竹縣湖口鄉文化路32號,"03-6218018, 03-5978323"
全家湖口新安宅店,012487,52487,新竹縣湖口鄉光復東路133號,"03-6214202, 03-5972923"
全家湖口頎邦店,016415,56415,新竹縣湖口鄉光復路12號5樓,03-6960342
全家湖口成功店,017262,15108,新竹縣湖口鄉成功路128號,"03-6218021, 03-5900098"
全家湖口大功店,017756,52827,新竹縣湖口鄉成功路76-1號,"03-6212010, 03-5901520"
全家湖口吉勝店,018131,16121,新竹縣湖口鄉勝利村勝利路二段1號1樓,"03-6218015, 03-5977531"
全家新豐欣興店,019060,56545,新竹縣新豐鄉中崙村中崙290號1樓,03-6992808
全家新豐尚仁店,018237,19869,新竹縣新豐鄉尚仁街131號1樓,"03-6218028, 03-5579285"
全家新豐松柏店,017640,57640,新竹縣新豐鄉松柏街152號1樓,"03-6235079, 03-5577802"
全家新豐建興店,016507,12566,新竹縣新豐鄉建興路一段36號,"03-6218030, 03-5574185"
全家新豐大興店,018668,54615,新竹縣新豐鄉建興路二段496號1樓,"03-6235265, 03-5574059"
全家新豐泰安店,017758,53485,新竹縣新豐鄉泰安街75號1樓,"03-6212189, 03-5575691"
全家新豐福德店,018761,58761,新竹縣新豐鄉康樂路一段479號1樓,"03-6213126, 03-5593060"
全家新豐新庄店,018363,52826,新竹縣新豐鄉新庄路133號,"03-6212009, 03-5575060"
全家新豐松林店,016479,12635,新竹縣新豐鄉新興路111號,"03-6218029, 03-5575748"
全家新豐宏達店,015373,16989,新竹縣新豐鄉新興路80號1樓,"03-6218027, 03-5578834"
全家新豐福比店,018654,57187,新竹縣新豐鄉新興路763號,"03-6214786, 03-5595316"
全家新豐火車頭店,018816,58816,新竹縣新豐鄉新興路202號2樓,"03-6214120, 03-5571960"
全家新埔埔德店,017436,19805,新竹縣新埔鎮中正路629號1樓,"03-6215288, 03-5880669"
全家新埔長茂店,017815,50496,新竹縣新埔鎮中正路378號1樓,"03-6215287, 03-5885547"
全家新埔新文山店,018357,53642,新竹縣新埔鎮文山路犁頭山段865號1樓,"03-6214352, 03-5880071"
全家關西正義店,018884,11519,"新竹縣關西鎮正義路254號,256號","03-6215289, 03-5870347"
全家關西宏義店,015992,50382,新竹縣關西鎮正義路27號1樓,"03-6215290, 03-5170455"
全家芎林五龍店,018269,52809,新竹縣芎林鄉五和街126號,"03-6212008, 03-5931858"
全家芎林向大店,019019,59019,新竹縣芎林鄉文山路569號(配送用),03-5921060
全家芎林富林店,017067,18762,新竹縣芎林鄉富林路三段94號1樓,"03-6218026, 03-6671033"
全家竹東鎮金店,013947,53947,新竹縣竹東鎮中山路67號1樓,"03-6218238, 03-5111020"
全家竹東新市店,014870,54613,新竹縣竹東鎮中央路92號,"03-6235298, 03-5821272"
全家竹東致東店,018167,51732,新竹縣竹東鎮中正路1號,"03-6214570, 03-5101897"
全家竹東新中興店,015099,53131,新竹縣竹東鎮中興路二段162號,03-5836522
全家竹東工研店,014081,16779,新竹縣竹東鎮中興路四段195號52館1樓,"03-5820430, 03-5834633"
全家竹東榮總店,018657,58136,新竹縣竹東鎮中豐路一段81號,03-5960058
全家竹東大鄉店,016662,16611,"新竹縣竹東鎮中豐路三段97,99號1樓","03-6218002, 03-5104813"
全家竹東大林店,013330,53330,新竹縣竹東鎮中豐路三段6號1樓,"03-6235145, 03-5950012"
全家竹東興仁店,013522,18638,新竹縣竹東鎮仁愛路446號1樓,"03-6215291, 03-5947181"
全家竹東北興店,015595,12906,新竹縣竹東鎮北興路三段503號1樓,"03-6218005, 03-5967896"
全家竹東上舜店,016183,14643,"新竹縣竹東鎮光明路261號,263號1樓","03-6218001, 03-5832801"
全家竹東東峰店,016331,12268,新竹縣竹東鎮東峰路162號1樓,"03-6218006, 03-5103509"
,,,,
全家竹東新商華店,018102,52364,新竹縣竹東鎮東寧路三段43號全部一樓至四樓,"03-6235047, 03-5100715"
全家竹東長春店,013504,53504,"新竹縣竹東鎮長春路三段165號一,二樓","03-6214630, 03-5103321"
全家新竹橫山店,017779,12363,新竹縣橫山鄉橫山村4鄰中豐路一段262號,"03-6218031, 03-5933001"
全家橫山致豐店,016494,50580,新竹縣橫山鄉大肚村12鄰中豐路二段112-2號,"03-6218013, 03-5931649"
