店舖名稱,店舖號,服務編號,地址,電話
全家中壢站前店,017317,12500,"桃園市中壢區5鄰中平路1,3號1樓","03-2750621, 03-4265615"
全家中壢青埔店,017522,57522,桃園市中壢區7鄰領航北路二段66號1樓,"03-2751874, 03-2873133"
全家中壢原大店,015070,53721,桃園市中壢區大仁二街17號1樓,"03-2751701, 03-4379511"
全家中壢新仁店,017802,54360,桃園市中壢區大仁四街16號1樓,"03-2750702, 03-4659758"
全家中壢中央三店,017558,50306,桃園市中壢區中大路300號松苑餐廳1樓,"03-4200964, 03-4205531"
全家中壢太子店,014471,10461,桃園市中壢區中山東路三段51號,"03-2750597, 03-4665494"
全家中壢新仁美店,017202,57202,桃園市中壢區中山東路三段211之1號,"03-2751774, 03-4565503"
全家中壢農會店,013676,12542,桃園市中壢區中山路97號1樓,"03-2750630, 03-4222900"
全家中壢金央店,014340,54340,桃園市中壢區中山路100號1F,"03-2751032, 03-4254651"
全家中壢中北店,014093,10244,桃園市中壢區中北路31號,"03-2750579, 03-4364237"
全家中壢龍凱店,018328,16778,桃園市中壢區中央路218號1樓,"03-2750742, 03-4207322"
全家中壢龍正店,018377,14220,桃園市中壢區中正路35號1樓,"03-2750732, 03-4268507"
全家中壢車站店,017445,57445,桃園市中壢區中和路139號1樓部分空間,"03-2751854, 03-4225316"
全家中壢環華店,017564,15105,桃園市中壢區中華路一段227號1樓,"03-2750894, 03-4516327"
全家中壢明光店,012987,52987,桃園市中壢區中華路一段550號8樓,03-4536307
全家中壢宏大店,019118,12726,桃園市中壢區中園路192-2號,"03-2750613, 03-4535014"
全家中壢龍園店,016287,18968,桃園市中壢區中園路15號,"03-2750743, 03-4629416"
全家中壢萬能店,014537,12062,桃園市中壢區中園路二段91號,"03-2750629, 03-4620757"
全家中壢中央一店,018843,50097,桃園市中壢區中大路300號(松果餐廳),"03-2750580, 03-4206551"
全家中壢中央二店,013833,50192,桃園市中壢區中大路300號(男九舍),"03-2750581, 03-4265685"
全家中壢源興店,015926,51447,桃園市中壢區中平路86-1號(興中移),"03-2706639, 03-2807380"
,,,,
全家中壢元大二店,013736,12955,桃園市中壢區遠東路135號(元智大學圖書館),"03-2750589, 03-4357993"
全家中壢海華店,016442,15926,"桃園市中壢區元化路282,286號一樓","03-2750620, 03-2807841"
全家中壢六合店,013495,19111,桃園市中壢區六和路48號,"03-2750595, 03-4255260"
全家中壢文忠店,016383,56383,桃園市中壢區文中路二段51-9號,"03-2751607, 03-4332555"
全家中壢元生店,015207,15080,桃園市中壢區文化二路252號256號,"03-2750591, 03-4341827"
全家中壢三和店,014717,11257,桃園市中壢區日新路80號,"03-2750571, 03-4654605"
全家中壢日新店,016850,11723,桃園市中壢區日新路24號,"03-2750600, 03-4361235"
全家中壢導航店,017896,57896,桃園市中壢區北園路24號,03-4627211
全家中壢弘福店,018009,52582,"桃園市中壢區弘揚路90號1F,B1",03-4384005
全家中壢弘志店,015509,55509,桃園市中壢區弘揚路29號,"03-2750762, 03-4658967"
全家中壢外環店,018945,58945,桃園市中壢區民族路二段132號一樓,03-4916512
全家中壢高嶺店,016883,56883,桃園市中壢區民族路五段326之2號,"03-2753601, 03-4207529"
全家中壢雙榮店,018441,58441,桃園市中壢區民族路五段6號1樓,"03-2714080, 03-4200497"
全家中壢元權店,014491,19108,桃園市中壢區民權路340號1樓。2樓,"03-4925381, 03-4951945"
全家中壢富裕店,016972,19482,桃園市中壢區永強街103號1樓,"03-2750623, 03-4523403"
全家中壢中美店,015672,14337,桃園市中壢區光復街13號,"03-2750585, 03-4269866"
全家中壢吉林店,018922,11583,桃園市中壢區吉林二路79巷2號,"03-2750609, 03-4514926"
全家中壢吉園店,014612,54612,桃園市中壢區吉林路68之1號,"03-2750263, 03-4610309"
全家中壢城章店,016377,52988,桃園市中壢區成章一街156號,"03-2713691, 03-4625435"
全家中壢復華店,017912,15531,桃園市中壢區自強四路88號一樓,"03-2750625, 03-4341338"
全家中壢工業店,015372,53881,桃園市中壢區西園路116號1樓,"03-2750309, 03-4612181"
全家中壢天晟店,018008,11492,桃園市中壢區延平路149號1樓,"03-2750596, 03-4343442"
全家中壢過嶺店,018197,58197,桃園市中壢區松義路100號1樓,"03-2713524, 03-4906791"
全家中壢忠孝店,014161,10699,桃園市中壢區信義路76號,"03-2750615, 03-4519387"
全家中壢西園店,012980,15886,桃園市中壢區南園二路12號14號一樓,"03-2750612, 03-4552182"
全家中壢金園店,013733,53587,桃園市中壢區南園二路323號1樓,"03-2753639, 03-4536048"
全家中壢青塘店,019022,59022,桃園市中壢區高鐵南路二段223號1樓,03-2872745
全家中壢後站店,018888,10571,桃園市中壢區健行路2號1樓,"03-2750617, 03-4593622"
全家中壢清英店,018235,51200,桃園市中壢區健行路229號,"03-2750622, 03-4280454"
全家中壢自立店,016302,56302,桃園市中壢區莊敬路823號,"03-2751485, 03-4612172"
全家中壢復興店,017258,10360,桃園市中壢區復興路1號1樓,"03-2750626, 03-4259562"
全家中壢十里店,014892,11870,桃園市中壢區復興路161號,"03-2750570, 03-4272590"
全家中壢文藝店,019108,59108,桃園市中壢區慈惠三街131號1樓,03-4253287
全家中壢禾凱店,018232,10250,桃園市中壢區新中北路380號,"03-2750608, 03-4355908"
全家中壢新中原店,018847,52327,桃園市中壢區新中北路243號1樓,"03-2750989, 03-4657833"
全家中壢興廣店,013557,14404,桃園市中壢區新中北路二段489號,"03-2750730, 03-4536026"
全家中壢環北店,016443,11840,桃園市中壢區新生路402號；環北路303號305號,"03-2750746, 03-4345363"
全家中壢新美店,018650,16608,桃園市中壢區新生路80號1樓,"03-2750628, 03-2806386"
全家中壢柏德店,012079,12225,桃園市中壢區實踐路221號,"03-2750618, 03-4382027"
全家中壢榮安店,016896,14484,桃園市中壢區榮安十三街205號,"03-2750631, 03-2850697"
全家中壢榮光店,014359,54359,桃園市中壢區榮安十三街262號,"03-2750022, 03-4610427"
全家中壢福爵店,018547,51979,桃園市中壢區福州二街526號1樓,"03-2751796, 03-4616552"
全家中壢大福店,016539,56539,桃園市中壢區福州二街457號,"03-2751645, 03-4535514"
全家中壢新埔店,018236,57922,桃園市中壢區領航南路二段181號1樓如附圖,"03-2755614, 03-2873962"
全家中壢元智店,014841,12011,桃園市中壢區興仁路二段63號,"03-2750592, 03-4358772"
全家中壢興榮店,016288,51395,桃園市中壢區興仁路二段288號1樓,"03-2750729, 03-2854760"
全家中壢龍川店,013579,16643,"桃園市中壢區龍川街3號1樓,2樓約5坪","03-2750731, 03-4371941"
全家中壢龍航店,014221,19361,桃園市中壢區龍岡路一段204號,"03-2750741, 03-4670906"
全家中壢龍岡店,016180,10321,桃園市中壢區龍岡路二段115號,"03-2750733, 03-4578429"
全家中壢龍興店,018661,12842,"桃園市中壢區龍岡路二段317,319號1樓","03-2750700, 03-2841406"
全家中壢龍門店,015111,55111,桃園市中壢區龍岡路三段616號,"03-2750301, 03-4507940"
全家中壢龍慈店,017228,56979,桃園市中壢區龍岡路三段275號1F,"03-2753661, 03-4687862"
全家中壢玉龍店,018605,58605,桃園市中壢區龍岡路三段117號,"03-2714051, 03-4280179"
全家中壢金龍店,019157,59157,桃園市中壢區龍岡路三段184號1樓如附圖所示,03-4572182
全家中壢龍東店,015299,19106,桃園市中壢區龍東路124號1樓,"03-2750735, 03-4668249"
全家中壢米干店,016097,55910,桃園市中壢區龍東路260號,"03-2751218, 03-4384109"
全家中壢龍樹店,016493,56493,"桃園市中壢區龍東路205號1樓,2樓","03-2751632, 03-4381941"
全家中壢環中店,012940,10816,"桃園市中壢區環中東路208號,208之1號1樓","03-2750745, 03-2853547"
全家中壢環東店,017257,53503,桃園市中壢區環中東路235-1號,"03-2753610, 03-4518150"
全家中壢環西店,017346,57346,"桃園市中壢區環西路二段302號1樓,2樓","03-2751847, 03-4944757"
全家平鎮中庸店,018776,15736,桃園市平鎮區中庸路126號128號一樓,"03-2750749, 03-4397398"
全家平鎮日星店,016899,51315,"桃園市平鎮區中豐路山頂段3號1,2樓","03-2750841, 03-4693600"
全家平鎮南勢店,013908,11995,桃園市平鎮區中豐路南勢二段206號1樓,"03-2750848, 03-4396949"
全家平鎮南東店,016562,16719,桃園市平鎮區中豐路南勢二段1號,"03-2750847, 03-4397532"
全家平鎮富民店,015880,55880,桃園市平鎮區文化街116號1樓,"03-2751192, 03-4952304"
全家平鎮平東店,017531,10936,桃園市平鎮區平東路571號1F,"03-2750842, 03-4501388"
全家平鎮民族店,016897,10869,"桃園市平鎮區民族路二段189,191號1樓","03-2750843, 03-4024798"
全家平鎮義興店,017461,19868,桃園市平鎮區育達路75號1F,"03-2750943, 03-4931646"
全家平鎮振興店,016281,10391,桃園市平鎮區和平路216號,"03-2750849, 03-4576430"
全家平鎮極光店,019058,51201,桃園市平鎮區延平路二段15號,"03-2750941, 03-4013607"
全家平鎮新義店,018510,53960,桃園市平鎮區延平路二段400巷8號,"03-2751705, 03-4023615"
全家平鎮大仁店,013390,11608,桃園市平鎮區金陵路三段68號,"03-2750748, 03-4575027"
全家平鎮金豐店,018512,55988,桃園市平鎮區南平路119號,"03-2751260, 03-4396499"
