店舖名稱,店舖號,服務編號,地址,電話
全家花蓮富強店,014382,15431,花蓮縣花蓮市中山路708號1樓,"03-8909602, 03-8465247"
全家花蓮國安店,016927,19728,花蓮縣花蓮市中山路406-2號,"03-8909640, 03-8311590"
全家花蓮建中店,015553,50291,花蓮縣花蓮市中山路547-2號,"03-8909637, 03-8315576"
全家花蓮慈濟店,014869,18472,花蓮縣花蓮市中央路三段707號3樓,"03-8573640, 03-8571610"
全家花蓮正國店,017489,15036,花蓮縣花蓮市中正路569號,"03-8909636, 03-8358084"
全家花蓮中福店,012231,15092,花蓮縣花蓮市中正路268號1樓,"03-8909633, 03-8320342"
全家花蓮正明店,015793,18310,花蓮縣花蓮市中正路633號,"03-8909635, 03-8335750"
全家花蓮榮正店,013551,18552,"花蓮縣花蓮市中正路207號,209號","03-8909628, 03-8336312"
全家花蓮正義店,015690,18723,花蓮縣花蓮市中正路413號1樓,"03-8909600, 03-8326265"
全家花蓮新美店,017812,52548,花蓮縣花蓮市中興路182號1樓,"03-8909415, 03-8236890"
全家花蓮光復店,017157,51437,花蓮縣花蓮市民國路121號,"03-8909002, 03-8316381"
全家花蓮鑫和店,011221,51221,花蓮縣花蓮市和平路597號壹樓,"03-8909631, 03-8310547"
全家花蓮博愛店,018734,52139,花蓮縣花蓮市林森路250號,"03-8909305, 03-8352319"
全家花蓮大愛店,012048,52048,花蓮縣花蓮市中央路三段707號(大愛樓地下室超商),"03-8909336, 03-8466456"
全家吉安建國店,017332,57332,花蓮縣吉安鄉建國路一段42號,"03-8909043, 03-8465801"
全家花蓮慈安店,016203,51373,花蓮縣花蓮市建國路二段876號,"03-8909626, 03-8463933"
全家花蓮車站店,018690,58690,花蓮縣花蓮市國聯一路100號1樓,"03-8909026, 03-8311943"
全家花蓮國盛店,017992,15304,"花蓮縣花蓮市國聯五路126,128號1樓","03-8909616, 03-8328037"
全家花蓮國興店,012863,18197,花蓮縣花蓮市國聯五路59號,"03-8909617, 03-8322092"
全家花蓮德順店,015922,15450,花蓮縣花蓮市德安一街223號1樓,"03-8909630, 03-8337071"
全家新城望海店,015087,18451,花蓮縣新城鄉七星街110號,"03-8909613, 03-8233371"
全家新城北埔店,014488,54488,花蓮縣新城鄉北埔路159號一樓,"03-8909003, 03-8269462"
全家新城佳山店,008350,18350,花蓮縣新城鄉佳林村佳林105號,03-8268488
全家新城嘉新店,012565,15778,花蓮縣新城鄉嘉新村花師街37號一樓,"03-8220672, 03-8226046"
全家新城康樂店,017111,19683,花蓮縣新城鄉康樂村康樂路279號,"03-8909612, 03-8262100"
全家新城太魯閣店,016143,18131,花蓮縣新城鄉新城村新興路53號1樓,"03-8909610, 03-8610632"
全家新城民益店,014596,19315,花蓮縣新城鄉嘉新村嘉新路45號,"03-8909601, 03-8225610"
全家秀林和平店,015795,12975,花蓮縣秀林鄉和平村和平路187號一樓,"03-8909609, 03-8682172"
全家吉安慶豐店,016999,12958,花蓮縣吉安鄉慶豐村中山路三段450號一樓,"03-8909625, 03-8521566"
全家吉安仁里店,017165,12976,"花蓮縣吉安鄉中正路一段153號,155號1樓","03-8909619, 03-8546913"
全家吉安宜昌店,018415,14339,花蓮縣吉安鄉中華路二段161號1樓,"03-8909621, 03-8536892"
全家吉安仁安店,016826,56826,花蓮縣吉安鄉仁里五街48-1號,"03-8909376, 03-8546601"
全家吉安自強店,018885,12990,花蓮縣吉安鄉勝安村自強路129號一樓131號,"03-8909620, 03-8514770"
全家吉安鑫莊敬店,015318,51749,花蓮縣吉安鄉自強路603號,"03-8909192, 03-8561115"
全家吉安和平店,017755,55260,花蓮縣吉安鄉自強路395號之1,"03-8909331, 03-8564431"
全家吉安福興店,015162,18315,花蓮縣吉安鄉福興路232-1號,"03-8909623, 03-8541041"
全家壽豐豐田店,015141,14913,花蓮縣壽豐鄉豐山村中山路195號,"03-8909608, 03-8652750"
全家壽豐志學店,019083,10337,花蓮縣壽豐鄉志學村中正路17號,"03-8909606, 03-8664996"
全家壽豐東華店,017867,50400,花蓮縣壽豐鄉大學路二段1號(東華大學六期學生宿舍),"03-8630008, 03-8630021"
全家壽豐東華二店,015629,55629,花蓮縣壽豐鄉大學路二段1號(多容館),"03-8909096, 03-8630329"
全家光復車站店,019174,55247,花蓮縣光復鄉中山路二段223號,"03-8909329, 03-8701110"
全家瑞穗車站店,018416,15552,花蓮縣瑞穗鄉瑞穗村中正北路1號一樓,"03-8909603, 03-8875375"
全家瑞穗瑞雄店,014073,18357,"花蓮縣瑞穗鄉溫泉路三段179,181號","03-8909605, 03-8873982"
全家玉里玉溪店,013096,53096,花蓮縣玉里鎮中華路177號,"03-8909652, 03-8980425"
