店舖名稱,店舖號,服務編號,地址,電話
全家竹南火車頭店,015855,55855,苗栗縣竹南鎮中山路166號2樓,"037775109, 037462484"
全家竹南中華店,015100,12076,"苗栗縣竹南鎮中華路189號1樓,2樓","037775239, 037595730"
全家竹南京元店,012918,12132,苗栗縣竹南鎮中華路118號,"037670236, 037670239"
全家竹南京華店,013607,53607,苗栗縣竹南鎮中華路123號1樓,"037775280, 037668774"
全家竹南廣源店,018652,16409,苗栗縣竹南鎮公義路1636-1號1樓,"037775245, 037586466"
全家竹南中義店,018101,50696,苗栗縣竹南鎮公義路1354號1樓,"037775240, 037586083"
全家竹南新豐店,012388,52388,苗栗縣竹南鎮公義路136號6樓,037635603
全家竹南天文店,017643,57643,苗栗縣竹南鎮天文路51號,"037775204, 037611158"
全家竹南崁頂店,018828,16867,苗栗縣竹南鎮永貞路二段149號,"037775242, 037614709"
全家竹南光華店,014750,16543,苗栗縣竹南鎮光復路241號1樓,"037775241, 037484619"
全家竹南大營店,018341,58341,苗栗縣竹南鎮自由街198號,"037775111, 037462542"
全家竹南龍佳店,015378,14252,苗栗縣竹南鎮佳北二街1號,"037775247, 037615681"
全家竹南金大埔店,017948,57948,苗栗縣竹南鎮科專七路221號,"037775305, 037583680"
全家竹南正大埔店,018040,58040,苗栗縣竹南鎮科專五路248號1樓,"037775214, 037583620"
全家竹南博愛店,018211,52671,苗栗縣竹南鎮博愛街53號1樓及地下室,"037775170, 037480834"
全家竹南新七囍店,015352,54341,苗栗縣竹南鎮博愛街799號,"037775238, 037550642"
全家竹南群聯店,017422,57422,苗栗縣竹南鎮群義路1號7樓,037583247
全家竹南龍鳳店,017350,16896,苗栗縣竹南鎮20鄰龍山路一段167號,"037775248, 037479480"
全家竹南龍好店,015535,55535,苗栗縣竹南鎮龍山路二段2號一樓,"037775076, 037462495"
全家竹南龍天店,016687,15081,苗栗縣竹南鎮龍天路57號1樓,"037775246, 037474675"
全家竹南環營店,017667,50195,苗栗縣竹南鎮環市路一段162號,"037775251, 037480422"
全家竹南環市店,016805,16788,苗栗縣竹南鎮環市路二段75號1樓2樓,"037775249, 037478611"
全家頭份大同店,017066,12455,苗栗縣頭份市大同路1號一樓,"037775253, 037598262"
全家頭份斗煥店,014196,11978,苗栗縣頭份市大營路1號,"037775258, 037691198"
全家頭份信義店,017813,52214,苗栗縣頭份市中山路53號1樓及地下室,"037775070, 037691745"
全家頭份中央店,018989,16379,苗栗縣頭份市中央路76號1樓,"037775255, 037676449"
全家頭份新市鎮店,017423,57423,苗栗縣頭份市中央路753號1樓,037630276
全家頭份上公園店,016598,56598,苗栗縣頭份市中正路356號,"037775068, 037592732"
全家頭份信東店,018057,12733,苗栗縣頭份市中華路1135號1樓,"037775263, 037662980"
全家頭份立華店,016955,19005,苗栗縣頭份市中華路600之8號1樓,"037775260, 037695982"
全家頭份武昌店,017011,19483,苗栗縣頭份市中華路1322號1樓,"037775262, 037662470"
全家頭份尖山店,018406,58406,苗栗縣頭份市中華路8號,"037775237, 037634989"
全家頭份公園店,014130,11894,苗栗縣頭份市公園路2號,"037775256, 037637836"
全家頭份文化店,016931,12980,苗栗縣頭份市文化街209號一樓,"037775257, 037687195"
全家頭份雙民店,011989,16083,苗栗縣頭份市民族路196號1樓,"037775267, 037594283"
全家頭份田寮店,012633,19752,苗栗縣頭份市10鄰自強路二段628號,"037775259, 037637825"
全家頭份和平店,013878,12658,苗栗縣頭份市和平路83號1樓,"037775261, 037595069"
全家頭份尚順二店,018117,57627,苗栗縣頭份市尚順路50號1樓,"037775164, 037696023"
全家頭份尚順店,013792,53792,苗栗縣頭份市東民三街1號1樓,037596441
全家頭份八寶店,017835,15243,苗栗縣頭份市信義路533號1樓,"037775201, 037625806"
全家頭份為恭店,018988,51425,苗栗縣頭份市信義路128號1樓(如附圖所示),"037775105, 037597731"
全家南庄桂花園店,012430,14210,苗栗縣南庄鄉南江村5鄰東江89號1樓,"037775203, 037823692"
全家苗栗獅潭店,015873,15501,苗栗縣獅潭鄉新店村新店150之6號一樓,"037775220, 037932482"
全家後龍大龍店,016901,50047,苗栗縣後龍鎮中北街67-3號67-4號67-5號,"037775205, 037729069"
全家苗栗高鐵店,016390,54450,苗栗縣後龍鎮高鐵三路268號,037248133
全家後龍新東店,014722,12269,苗栗縣後龍鎮造豐路126號,"037775207, 037731679"
全家通霄中正店,013275,11449,苗栗縣通霄鎮中正路80號,"037775225, 037759228"
全家通霄河堤店,019124,55193,苗栗縣通霄鎮忠孝路8-1號,"037775125, 037757074"
全家苑裡新興店,015523,18905,苗栗縣苑裡鎮大同路3號,"037775229, 037860826"
全家苑裡甜心店,017737,50497,苗栗縣苑裡鎮9鄰山柑93號,"037775231, 037741579"
全家苑裡金世界店,016626,56626,苗栗縣苑裡鎮世界路二段268號,"037775183, 037857210"
全家苑裡新信義店,014969,50878,苗栗縣苑裡鎮建國路56-2號,"037775232, 037856811"
全家苗栗中山店,015252,15262,苗栗縣苗栗市中山路986之4號一樓,"037775213, 037336919"
全家苗栗新農會店,017969,52450,苗栗縣苗栗市14鄰中山路524號1樓,"037775085, 037359757"
全家苗栗大利店,016210,14319,苗栗縣苗栗市中正路1132號,"037775210, 037369349"
全家苗栗富樂店,017377,18788,苗栗縣苗栗市中正路399號一樓,"037775219, 037358638"
全家苗栗新大發店,016587,52339,苗栗縣苗栗市22鄰中華路673號,"037775209, 037261796"
全家苗栗福麗店,016988,51267,苗栗縣苗栗市民族路132號1樓,"037775233, 037378597"
全家苗栗玉清店,017708,12875,苗栗縣苗栗市玉清路38號1樓,"037775215, 037373733"
全家苗栗自治店,017608,11504,苗栗縣苗栗市自治路162號,"037775217, 037368221"
全家苗栗真興店,016061,51869,苗栗縣苗栗市為公路540號,"037775030, 037265972"
全家苗栗台鐵店,017006,57006,苗栗縣苗栗市為公路1-1號3樓,037275374
全家苗栗英才店,018134,14025,苗栗縣苗栗市英才路127號,"037775218, 037372848"
全家苗栗嘉新店,013955,19807,苗栗縣苗栗市國華路126號,"037775223, 037267843"
全家苗栗大勝店,018398,19231,苗栗縣苗栗市新東街142號,"037775211, 037325993"
全家苗栗聯大店,013321,53321,苗栗縣苗栗市聯大二號,037381430
全家造橋朝陽店,013183,12331,苗栗縣造橋鄉朝陽村朝陽路127號,"037775227, 037562446"
全家頭屋雙龍店,016186,18678,苗栗縣頭屋鄉尖豐路135-2號,"037775216, 037252310"
全家公館金交流店,017128,52519,苗栗縣公館鄉玉谷村14鄰向陽31號1樓,"037775013, 037233561"
全家公館農會店,015291,55291,苗栗縣公館鄉忠孝路227號,"037775029, 037237517"
全家公館新鶴岡店,018283,51870,苗栗縣公館鄉鶴山村7鄰鶴山235之1號1樓,"037775200, 037237605"
全家大湖新南昌店,012478,51817,苗栗縣大湖鄉南昌路20號,"037775202, 037995457"
全家銅鑼金銅鑼店,018440,58440,苗栗縣銅鑼鄉中正路133號,"037775340, 037982922"
全家銅鑼工業店,016238,54528,苗栗縣銅鑼鄉中平村中興路3之1號1樓,"037775338, 037232502"
全家銅鑼新福興店,012424,52424,苗栗縣銅鑼鄉福興村13鄰平陽路40-6號1樓,"037775285, 037981203"
全家銅鑼京元店,013741,53741,苗栗縣銅鑼鄉銅科北路8號4樓,037987616
全家卓蘭上新店,017996,13904,苗栗縣卓蘭鎮19鄰上新12號,"04-37007822, 04-25898473"
全家卓蘭水梨店,016313,56313,苗栗縣卓蘭鎮中正路48號,"04-775126, 04-25897758"
