店舖名稱,店舖號,服務編號,地址,電話
全家斗南新陽光店,015476,51980,雲林縣斗南鎮大成路62號,"05-7709838, 05-5968582"
全家斗南大業店,014443,18103,雲林縣斗南鎮5鄰大業路243號1樓,"05-7709147, 05-5974872"
全家斗南西岐店,017468,50462,雲林縣斗南鎮中山路151-16號,"05-7709634, 05-5953351"
全家斗南光華店,018450,18385,雲林縣斗南鎮光華路96號,"05-7709640, 05-5953576"
全家斗南利台店,018998,53515,雲林縣斗南鎮忠孝路228-2號,"05-7709551, 05-5972136"
全家斗南林子店,018439,51403,雲林縣斗南鎮林子201號,"05-7709642, 05-5974262"
全家虎尾虎威店,019187,54219,雲林縣虎尾鎮八德街88號,05-6329484
全家虎尾霹靂店,015773,18627,雲林縣虎尾鎮中興路83號1樓,"05-7709817, 05-6223248"
全家虎尾文科店,017750,18462,雲林縣虎尾鎮文科路1151號,"05-7709821, 05-6331799"
全家虎尾新興店,014792,54792,雲林縣虎尾鎮民權路13號,"05-7709162, 05-6323822"
全家虎尾工專店,018289,13312,雲林縣虎尾鎮立德路2號,"05-7709761, 05-6364272"
全家虎尾新光店,015477,53514,雲林縣虎尾鎮光明路75號,"05-7709550, 05-6326703"
全家虎尾平和店,016780,19282,雲林縣虎尾鎮光復路126號,"05-7709820, 05-6324174"
全家虎尾新忠孝店,016462,52948,雲林縣虎尾鎮忠孝路44號,"05-7709568, 05-6320832"
全家虎尾雲高店,019072,59072,雲林縣虎尾鎮站前東路301號1樓,05-7006910
全家虎尾立人店,017653,50201,雲林縣虎尾鎮復興路177號1＆2樓,"05-7709822, 05-6325725"
全家虎尾興南店,015965,19183,雲林縣虎尾鎮興南158之12號,"05-7709775, 05-6328374"
全家土庫建國店,018312,13319,雲林縣土庫鎮建國路137號,"05-7709825, 05-6628899"
全家褒忠聚寶店,018192,18437,雲林縣褒忠鄉中正路131號1樓,"05-7709847, 05-6975735"
全家東勢安康店,018068,18286,雲林縣東勢鄉東南村康安路6號,"05-7706009, 05-6993185"
全家雲林崙豐店,017561,17819,雲林縣台西鄉永豐村崙豐路108號1樓,"05-7709816, 05-6902447"
全家崙背永昌店,017765,50461,雲林縣崙背鄉南光路1之10號,"05-7709846, 05-6967662"
全家麥寮長庚店,017504,57504,雲林縣麥寮鄉中興村工業路1500號,05-6910710
全家麥寮新泰順店,013030,52828,雲林縣麥寮鄉中興路76-3號,"05-7709549, 05-6936160"
全家麥寮新工店,018515,52303,雲林縣麥寮鄉仁德西路二段543號,"05-7709152, 05-6916675"
全家麥寮六輕店,013776,18389,雲林縣麥寮鄉中興村台塑工業園區1號,"05-6812965, 05-6812640"
全家麥寮新和順店,016162,51087,雲林縣麥寮鄉光復路34號,"05-7709793, 05-6939370"
全家麥寮德順店,018070,17847,雲林縣麥寮鄉施厝村施厝230號1樓,"05-7709796, 05-6914811"
全家麥寮橋頭店,013924,18023,雲林縣麥寮鄉橋頭村橋頭路327號一樓,"05-7709798, 05-6911471"
全家斗六榮大店,016809,19411,雲林縣斗六市大學路一段402號1樓,"05-7709746, 05-5360113"
全家斗六雲大店,013359,50640,雲林縣斗六市中山路573號,"05-7709747, 05-5360798"
全家斗六社口店,016621,51463,雲林縣斗六市中山路321號1樓2樓全部,"05-7709556, 05-5360684"
全家斗六環中店,016372,56372,雲林縣斗六市中華路275號,"05-7706538, 05-5374847"
全家斗六新中興店,017467,54173,雲林縣斗六市中興路30號,"05-7706010, 05-5570421"
全家斗六工業店,017655,57333,雲林縣斗六市斗工十路108號1樓,"05-7706564, 05-5575825"
全家斗六四維店,017562,17488,雲林縣斗六市四維路132號1樓,"05-7709647, 05-5350953"
全家斗六車頭店,016858,56073,雲林縣斗六市民生路187號2樓,"05-7709766, 05-5334074"
全家斗六交流店,018409,58409,雲林縣斗六市石榴路367號,"05-7706634, 05-5572615"
全家斗六莊敬店,016463,17874,雲林縣斗六市成功路280號一樓,"05-7709749, 05-5338296"
全家斗六竹圍店,015256,17772,雲林縣斗六市竹圍路51號一樓,"05-7709752, 05-5515203"
全家斗六西平店,016470,56470,雲林縣斗六市西平路677號,"05-7706621, 05-5516477"
全家斗六保明店,017671,50618,雲林縣斗六市保長路51-1號,"05-7709750, 05-5370414"
全家斗六重光店,016619,53214,雲林縣斗六市南聖路78巷47號1樓,"05-7706557, 05-5338946"
全家斗六永昌店,017038,57038,雲林縣斗六市雲林路二段135號1樓,"05-7706586, 05-5376148"
全家斗六久安店,017335,57335,雲林縣斗六市雲林路三段473號,"05-7706591, 05-5222671"
全家斗六龍潭店,015257,18491,雲林縣斗六市龍潭北路2號1樓,"05-7709645, 05-5336820"
全家斗六鎮北店,018193,50215,"雲林縣斗六市鎮北路152號1樓,2樓","05-7709648, 05-5331047"
全家斗六牛桃灣店,016540,56540,雲林縣斗六市鎮北路349-2號,"05-7706623, 05-5512040"
全家林內采虹店,018549,18422,"雲林縣林內鄉中正路30號,32號","05-7709756, 05-5898442"
全家古坑永光店,017379,50049,雲林縣古坑鄉永光村光昌路15巷5號,"05-7709755, 05-5821723"
全家莿桐饒平店,017739,51077,雲林縣莿桐鄉四合村后埔128號,"05-7709757, 05-5712906"
全家西螺平和店,015858,55858,雲林縣西螺鎮平和南路399號1-3樓,"05-7706572, 05-5875059"
全家西螺廣福店,012175,18808,雲林縣西螺鎮光復西路2號,"05-7709849, 05-5875923"
全家西螺七崁店,016859,54926,雲林縣西螺鎮吳厝70-1號,"05-7709803, 05-5878263"
全家西螺延平店,018124,19185,雲林縣西螺鎮延平路191號,"05-7706002, 05-5873047"
全家西螺青果店,017766,18542,雲林縣西螺鎮新興路500號,"05-7706003, 05-5879480"
全家二崙新崙店,017762,54033,雲林縣二崙鄉中山路115號,"05-7709595, 05-5989801"
全家二崙永定店,016566,51428,雲林縣二崙鄉永定村永定路407號,"05-7709161, 05-5981816"
全家北港文仁店,014333,17545,雲林縣北港鎮大同路554之1號,"05-7709785, 05-7820974"
全家北港天后店,017612,50363,雲林縣北港鎮中山路90號,"05-7709778, 05-7837465"
全家北港順風店,019065,53759,"雲林縣北港鎮中正路95號一樓,二樓","05-7709150, 05-7836010"
全家北港豐順店,016397,14377,"雲林縣北港鎮公園路73號1,2樓","05-7709783, 05-7839941"
全家北港財神店,015799,17965,雲林縣北港鎮文仁路143號一樓,"05-7709790, 05-7821172"
全家北港華勝店,016276,13369,雲林縣北港鎮華勝路416號1樓,"05-7709791, 05-7825091"
全家雲林水林店,013876,13371,"雲林縣水林鄉新興南路4號,6號","05-7709776, 05-7850306"
全家口湖下崙店,018660,58660,雲林縣口湖鄉崙中村中山路71號,"05-7706594, 05-7990369"
全家雲林元長店,016056,17687,雲林縣元長鄉長南村13鄰中山路115號1樓,"05-7709840, 05-7888693"
