店舖名稱,店舖號,服務編號,地址,電話
全家高雄福華店,015219,50219,高雄市新興區七賢一路301號壹樓角窗部份,"07-9769758, 07-2360858"
全家高雄尚義店,014782,17814,高雄市新興區中正二路220號1樓,"07-9744325, 07-2231461"
全家高雄仁愛店,018436,58436,高雄市新興區五福二路116號壹樓,"07-9765483, 07-2816993"
全家高雄文橫店,018610,17193,高雄市新興區文橫二路166之1號一樓,"07-9769791, 07-2820506"
全家高雄民族店,018386,17004,高雄市新興區民族二路100號,"07-9744197, 07-2231201"
全家高雄林庭店,017657,57657,高雄市新興區林森一路163-1號,"07-9766409, 07-2416656"
全家高雄福心店,018179,58179,高雄市新興區復興一路49號壹樓,"07-9765307, 07-2610787"
全家高雄瑞華店,017218,18526,高雄市前金區七賢二路156號,"07-9769738, 07-2855228"
全家高雄寶成店,015336,55336,高雄市前金區七賢二路322號,"07-9766151, 07-2411037"
全家高雄三鳳店,015576,14288,高雄市前金區中華三路251號,"07-9769765, 07-2419155"
全家高雄中華店,017171,17080,高雄市前金區中華三路21號1樓,"07-9769788, 07-2829754"
全家高雄樂活店,019127,59127,高雄市前金區中華三路146號中華大樓一樓Ａ室,07-2851596
全家高雄錢櫃店,018750,50983,高雄市前金區六合二路157號,"07-9769761, 07-2418122"
全家高雄榮安店,012406,17112,"高雄市前金區自強一路60,62,64號1樓","07-9769709, 07-2827415"
全家高雄忠孝店,015983,52222,高雄市苓雅區三多三路168號壹樓,"07-9765467, 07-3317931"
全家高雄亞太店,016525,50702,高雄市苓雅區三多四路65號壹樓,"07-9744322, 07-2691476"
全家高雄五福店,017336,17111,高雄市苓雅區五福一路153號,"07-9769789, 07-2290512"
全家高雄四維店,012905,17280,高雄市苓雅區四維四路5號,"07-9744236, 07-5350492"
全家高雄輔仁店,018196,17423,高雄市苓雅區正大路79號；輔仁路229號,"07-9769742, 07-7522089"
全家高雄新義店,016880,51088,高雄市苓雅區正義路176號壹樓,"07-9769796, 07-7491018"
全家高雄永昌店,015969,17039,高雄市苓雅區成功一路168之2號,"07-9744200, 07-3329586"
全家高雄碼頭店,018433,17960,高雄市苓雅區成功二路144號一樓三多四路13,"07-9769795, 07-2695101"
全家高雄東榮店,017077,57077,高雄市苓雅區自強三路16號,"07-9766561, 07-2693970"
全家高雄實踐店,014157,17932,高雄市苓雅區和平一路130號一樓,"07-9769706, 07-2265917"
全家高雄森永店,019023,59023,高雄市苓雅區林森二路22號,07-3311520
全家高雄武仁店,017782,17750,高雄市苓雅區武仁街95號一樓,"07-9744335, 07-7238451"
全家高雄心誠店,015717,17079,高雄市苓雅區武廟路48號1樓,"07-9744239, 07-7174801"
全家高雄武聖店,017613,53517,高雄市苓雅區武廟路133號,"07-9741961, 07-7228004"
全家高雄市府店,012102,17281,高雄市苓雅區苓雅一路195號,"07-9744176, 07-5367610"
全家高雄豐強店,018255,19429,"高雄市苓雅區苓雅二路108號一,二,三樓","07-9769753, 07-3384961"
全家高雄三信店,016906,18952,高雄市苓雅區三多一路186號(三信家商),"07-9769783, 07-7241406"
全家高雄大遠百店,016768,56768,高雄市苓雅區三多四路21號(12樓櫃位),07-3387169
全家高雄星光店,015620,17558,高雄市苓雅區新光路26號1樓,"07-9744351, 07-3330514"
